VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 0.87303, -0.86068, 1.41546, 1.42546, 0.00357, 0.0085, -0.00386, -0.0075, 0.00015, -0.00661, 0.6305, 0.50788, -13.28001, 1.28035, -32.13229
1, 2, 0.90526, -0.858, 1.54479, 1.55479, 0.00357, 0.0085, -0.00386, -0.0075, 0.00014, -0.00661, 0.63016, 0.50788, -13.18127, 1.27982, -32.04244
2, 1, 0.96814, -0.9299, 1.52927, 1.53927, 0.00357, 0.0085, -0.00386, -0.0075, 0.00015, -0.00661, 0.63015, 0.5077, -13.13626, 1.23856, -32.09143
3, 3, 0.87303, -0.86068, 1.41546, 1.42546, 0.00357, 0.0085, -0.00386, -0.0075, 0.00015, -0.00661, 0.6305, 0.50788, -13.28001, 1.28035, -32.13229
4, 1, 0.96814, -0.9299, 1.52927, 1.53927, 0.00357, 0.0085, -0.00386, -0.0075, 0.00015, -0.00661, 0.63015, 0.5077, -13.13626, 1.23856, -32.09143
5, 0, 0.93589, -0.93271, 1.3982, 1.4082, 0.00357, 0.0085, -0.00386, -0.0075, 0.00015, -0.00661, 0.6305, 0.5077, -13.23596, 1.23904, -32.18274
6, 7, 1.01117, -1.80059, 1.51525, 1.52525, 0.00314, -0.00883, -0.00349, -0.00749, -0.00004, -0.00663, 0.62978, 0.50861, -13.11149, 0.73616, -32.13414
7, 6, 0.90416, -1.90218, 1.54415, 1.55414, 0.00314, -0.00883, -0.00349, -0.00754, -0.00009, -0.00656, 0.62978, 0.50835, -13.18787, 0.67705, -32.05041
8, 5, 0.8721, -1.90608, 1.41154, 1.42154, 0.00314, -0.00883, -0.00349, -0.00749, -0.00004, -0.00663, 0.63013, 0.50835, -13.28827, 0.67692, -32.14312
9, 7, 1.01117, -1.80059, 1.51525, 1.52525, 0.00314, -0.00883, -0.00349, -0.00749, -0.00004, -0.00663, 0.62978, 0.50861, -13.11149, 0.73616, -32.13414
10, 5, 0.8721, -1.90608, 1.41154, 1.42154, 0.00314, -0.00883, -0.00349, -0.00749, -0.00004, -0.00663, 0.63013, 0.50835, -13.28827, 0.67692, -32.14312
11, 4, 0.97553, -1.80376, 1.38189, 1.39189, 0.00314, -0.00883, -0.00349, -0.00749, -0.00004, -0.00663, 0.63013, 0.50861, -13.21536, 0.73646, -32.22544
12, 11, 0.96814, -0.9299, 1.52927, 1.53927, 0.00598, 0.00447, -0.00665, -0.00754, 0.00032, -0.00656, 0.63015, 0.5077, -13.13626, 1.23856, -32.09143
13, 10, 1.05144, -1.23538, 1.50572, 1.51572, 0.00598, 0.00447, -0.00665, -0.00747, 0.00009, -0.00665, 0.63016, 0.50742, -13.07933, 1.06259, -32.16046
14, 9, 1.00355, -1.23841, 1.3262, 1.3362, 0.00598, 0.00447, -0.00665, -0.00754, 0.00032, -0.00656, 0.63063, 0.50742, -13.21908, 1.06372, -32.28341
15, 11, 0.96814, -0.9299, 1.52927, 1.53927, 0.00598, 0.00447, -0.00665, -0.00754, 0.00032, -0.00656, 0.63015, 0.5077, -13.13626, 1.23856, -32.09143
16, 9, 1.00355, -1.23841, 1.3262, 1.3362, 0.00598, 0.00447, -0.00665, -0.00754, 0.00032, -0.00656, 0.63063, 0.50742, -13.21908, 1.06372, -32.28341
17, 8, 0.93589, -0.93271, 1.3982, 1.4082, 0.00598, 0.00447, -0.00665, -0.00754, 0.00032, -0.00656, 0.6305, 0.5077, -13.23596, 1.23904, -32.18274
18, 15, 0.90526, -0.858, 1.54479, 1.55479, 0.0073, -0.00028, 0.00682, -0.00667, 0.00184, 0.00722, 0.62958, 0.50862, -13.18127, 1.27982, -32.04244
19, 14, 0.97149, -1.21638, 1.52633, 1.53633, 0.0073, -0.00028, 0.00682, -0.00675, 0.00125, 0.00727, 0.62934, 0.50916, -13.13646, 1.07323, -32.09799
20, 13, 1.05144, -1.23538, 1.50572, 1.51572, 0.0073, -0.00028, 0.00682, -0.00667, 0.00184, 0.00722, 0.62912, 0.50916, -13.07933, 1.06259, -32.16046
21, 15, 0.90526, -0.858, 1.54479, 1.55479, 0.0073, -0.00028, 0.00682, -0.00667, 0.00184, 0.00722, 0.62958, 0.50862, -13.18127, 1.27982, -32.04244
22, 13, 1.05144, -1.23538, 1.50572, 1.51572, 0.0073, -0.00028, 0.00682, -0.00667, 0.00184, 0.00722, 0.62912, 0.50916, -13.07933, 1.06259, -32.16046
23, 12, 0.96814, -0.9299, 1.52927, 1.53927, 0.0073, -0.00028, 0.00682, -0.00667, 0.00184, 0.00722, 0.6294, 0.50871, -13.13626, 1.23856, -32.09143
24, 19, 0.70499, -0.87745, 1.46279, 1.47278, -0.00495, 0.00666, 0.00558, -0.00759, -0.00018, -0.00651, 0.6305, 0.50832, -13.39816, 1.2699, -31.99809
25, 18, 0.56598, -1.1337, 1.44859, 1.45859, -0.00495, 0.00666, 0.00558, -0.00747, 0.00001, -0.00665, 0.63063, 0.50861, -13.52645, 1.12221, -31.93349
26, 17, 0.61152, -1.13082, 1.6193, 1.6293, -0.00495, 0.00666, 0.00558, -0.00759, -0.00018, -0.00651, 0.63018, 0.50861, -13.39356, 1.12114, -31.81658
27, 19, 0.70499, -0.87745, 1.46279, 1.47278, -0.00495, 0.00666, 0.00558, -0.00759, -0.00018, -0.00651, 0.6305, 0.50832, -13.39816, 1.2699, -31.99809
28, 17, 0.61152, -1.13082, 1.6193, 1.6293, -0.00495, 0.00666, 0.00558, -0.00759, -0.00018, -0.00651, 0.63018, 0.50861, -13.39356, 1.12114, -31.81658
29, 16, 0.73488, -0.87479, 1.58506, 1.59505, -0.00495, 0.00666, 0.00558, -0.00759, -0.00018, -0.00651, 0.63018, 0.50833, -13.30531, 1.26948, -31.91281
30, 23, 0.87303, -0.86068, 1.41546, 1.42546, -0.00639, 0.00311, -0.00704, 0.00699, -0.00146, -0.007, 0.62865, 0.50862, -13.28001, 1.28035, -32.13229
31, 22, 0.93589, -0.93271, 1.3982, 1.4082, -0.00639, 0.00311, -0.00704, 0.007, -0.00144, -0.00699, 0.62883, 0.5087, -13.23596, 1.23904, -32.18274
32, 21, 1.00355, -1.23841, 1.3262, 1.3362, -0.00639, 0.00311, -0.00704, 0.00699, -0.00146, -0.007, 0.6291, 0.50916, -13.21908, 1.06372, -32.28341
33, 23, 0.87303, -0.86068, 1.41546, 1.42546, -0.00639, 0.00311, -0.00704, 0.00699, -0.00146, -0.007, 0.62865, 0.50862, -13.28001, 1.28035, -32.13229
