VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 0.33553, -2.89202, 2.13765, 2.14764, -0.00534, 0.00432, 0.00727, 0.00816, 0.00036, 0.00578, 0.70236, 0.22604, -13.35426, 0.09614, -31.2415
1, 2, 0.32362, -2.94091, 2.14417, 2.15416, -0.00534, 0.00432, 0.00727, 0.00816, 0.00036, 0.00578, 0.70168, 0.22136, -13.36113, 0.06782, -31.22971
2, 1, 0.33024, -2.93876, 2.16114, 2.17113, -0.00534, 0.00432, 0.00727, 0.00816, 0.00036, 0.00578, 0.7017, 0.22141, -13.34611, 0.06879, -31.21926
3, 3, 0.33553, -2.89202, 2.13765, 2.14764, -0.00534, 0.00432, 0.00727, 0.00816, 0.00036, 0.00578, 0.70236, 0.22604, -13.35426, 0.09614, -31.2415
4, 1, 0.33024, -2.93876, 2.16114, 2.17113, -0.00534, 0.00432, 0.00727, 0.00816, 0.00036, 0.00578, 0.7017, 0.22141, -13.34611, 0.06879, -31.21926
5, 0, 0.34215, -2.88987, 2.15462, 2.16461, -0.00534, 0.00432, 0.00727, 0.00816, 0.00036, 0.00578, 0.70237, 0.22609, -13.33924, 0.09712, -31.23104
6, 7, 0.37632, -3.01401, 2.14361, 2.1536, 0.00483, -0.00601, -0.00637, 0.00813, 0.00038, 0.00581, 0.69446, 0.21965, -13.31662, 0.02563, -31.26048
7, 6, 0.37043, -3.01593, 2.12849, 2.13848, 0.00483, -0.00601, -0.00637, 0.00813, 0.00038, 0.00581, 0.69445, 0.2196, -13.32999, 0.02476, -31.2698
8, 5, 0.39017, -2.96502, 2.11872, 2.12872, 0.00483, -0.00601, -0.00637, 0.00813, 0.00038, 0.00581, 0.69445, 0.22509, -13.31818, 0.0543, -31.28869
9, 7, 0.37632, -3.01401, 2.14361, 2.1536, 0.00483, -0.00601, -0.00637, 0.00813, 0.00038, 0.00581, 0.69446, 0.21965, -13.31662, 0.02563, -31.26048
10, 5, 0.39017, -2.96502, 2.11872, 2.12872, 0.00483, -0.00601, -0.00637, 0.00813, 0.00038, 0.00581, 0.69445, 0.22509, -13.31818, 0.0543, -31.28869
11, 4, 0.39606, -2.9631, 2.13385, 2.14384, 0.00483, -0.00601, -0.00637, 0.00813, 0.00038, 0.00581, 0.69447, 0.22514, -13.3048, 0.05517, -31.27938
12, 11, 0.39606, -2.9631, 2.13385, 2.14384, 0.00294, 0.00816, -0.00498, -0.00905, 0.0007, -0.0042, 0.69447, 0.22514, -13.3048, 0.05517, -31.27938
13, 10, 0.39017, -2.96502, 2.11872, 2.12872, 0.00294, 0.00816, -0.00498, -0.00904, 0.00068, -0.00422, 0.69445, 0.22509, -13.31818, 0.0543, -31.28869
14, 9, 0.33553, -2.89202, 2.13765, 2.14764, 0.00294, 0.00816, -0.00498, -0.00905, 0.0007, -0.0042, 0.70236, 0.22604, -13.35426, 0.09614, -31.2415
15, 11, 0.39606, -2.9631, 2.13385, 2.14384, 0.00294, 0.00816, -0.00498, -0.00905, 0.0007, -0.0042, 0.69447, 0.22514, -13.3048, 0.05517, -31.27938
16, 9, 0.33553, -2.89202, 2.13765, 2.14764, 0.00294, 0.00816, -0.00498, -0.00905, 0.0007, -0.0042, 0.70236, 0.22604, -13.35426, 0.09614, -31.2415
17, 8, 0.34215, -2.88987, 2.15462, 2.16461, 0.00294, 0.00816, -0.00498, -0.00905, 0.0007, -0.0042, 0.70237, 0.22609, -13.33924, 0.09712, -31.23104
18, 15, 0.39017, -2.96502, 2.11872, 2.12872, -0.00812, -0.00046, -0.00581, -0.00522, 0.00502, 0.0069, 0.69445, 0.22509, -13.31818, 0.0543, -31.28869
19, 14, 0.37043, -3.01593, 2.12849, 2.13848, -0.00812, -0.00046, -0.00581, -0.00522, 0.00502, 0.0069, 0.69445, 0.2196, -13.32999, 0.02476, -31.2698
20, 13, 0.32362, -2.94091, 2.14417, 2.15416, -0.00812, -0.00046, -0.00581, -0.00522, 0.00502, 0.0069, 0.70168, 0.22136, -13.36113, 0.06782, -31.22971
21, 15, 0.39017, -2.96502, 2.11872, 2.12872, -0.00812, -0.00046, -0.00581, -0.00522, 0.00502, 0.0069, 0.69445, 0.22509, -13.31818, 0.0543, -31.28869
