VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, -0.06071, -2.54601, 2.14852, 2.15851, -0.00091, 0.00984, 0.00152, -0.00559, -0.00177, 0.0081, 0.15323, 0.03635, -13.68627, 0.29572, -31.00619
1, 2, -0.04152, -2.54566, 2.19651, 2.20651, -0.00091, 0.00984, 0.00152, -0.00559, -0.00177, 0.0081, 0.15323, 0.03836, -13.64342, 0.29515, -30.97692
2, 1, 0.02225, -2.52431, 2.16896, 2.17896, -0.00091, 0.00984, 0.00152, -0.00559, -0.00177, 0.0081, 0.15051, 0.03833, -13.60378, 0.30791, -31.03575
3, 3, -0.06071, -2.54601, 2.14852, 2.15851, -0.00091, 0.00984, 0.00152, -0.00559, -0.00177, 0.0081, 0.15323, 0.03635, -13.68627, 0.29572, -31.00619
4, 1, 0.02225, -2.52431, 2.16896, 2.17896, -0.00091, 0.00984, 0.00152, -0.00559, -0.00177, 0.0081, 0.15051, 0.03833, -13.60378, 0.30791, -31.03575
5, 0, 0.00305, -2.52467, 2.12097, 2.13096, -0.00091, 0.00984, 0.00152, -0.00559, -0.00177, 0.0081, 0.15052, 0.03632, -13.64662, 0.30848, -31.06501
6, 7, 0.07972, -2.80324, 2.14305, 2.15305, 0.00214, -0.00919, -0.00332, 0.00492, 0.00395, -0.00776, 0.15253, 0.04024, -13.57017, 0.14731, -31.09197
7, 6, 0.03406, -2.84042, 2.16279, 2.17279, 0.00214, -0.00919, -0.00332, 0.00492, 0.00395, -0.00776, 0.1504, 0.04018, -13.59866, 0.12553, -31.05
8, 5, 0.01694, -2.84071, 2.12004, 2.13003, 0.00214, -0.00919, -0.00332, 0.00492, 0.00395, -0.00776, 0.15046, 0.03839, -13.63683, 0.12605, -31.07606
9, 7, 0.07972, -2.80324, 2.14305, 2.15305, 0.00214, -0.00919, -0.00332, 0.00492, 0.00395, -0.00776, 0.15253, 0.04024, -13.57017, 0.14731, -31.09197
10, 5, 0.01694, -2.84071, 2.12004, 2.13003, 0.00214, -0.00919, -0.00332, 0.00492, 0.00395, -0.00776, 0.15046, 0.03839, -13.63683, 0.12605, -31.07606
11, 4, 0.0626, -2.80353, 2.10029, 2.11029, 0.00214, -0.00919, -0.00332, 0.00492, 0.00395, -0.00776, 0.1526, 0.03846, -13.60835, 0.14783, -31.11803
12, 11, 0.02225, -2.52431, 2.16896, 2.17896, 0.00526, 0.00377, -0.00763, -0.00223, 0.00926, 0.00304, 0.15997, 0.03915, -13.60378, 0.30791, -31.03575
13, 10, 0.07972, -2.80324, 2.14305, 2.15305, 0.00526, 0.00377, -0.00763, -0.00223, 0.00926, 0.00304, 0.15326, 0.03891, -13.57017, 0.14731, -31.09197
