VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, -0.87788, -1.64447, 9.40944, 9.41943, 0.00225, 0.00915, -0.00334, -0.00842, 0.0001, -0.0054, 0.30193, 0.40811, -10.39155, 0.69998, -24.47344
1, 2, -0.83938, -1.64476, 9.49496, 9.50495, 0.00225, 0.00915, -0.00334, -0.0084, 0.00009, -0.00542, 0.30194, 0.40811, -10.31155, 0.69844, -24.42373
2, 1, -0.67157, -1.79132, 9.41678, 9.42677, 0.00225, 0.00915, -0.00334, -0.00842, 0.0001, -0.0054, 0.30316, 0.40815, -10.21137, 0.61509, -24.58485
3, 3, -0.87788, -1.64447, 9.40944, 9.41943, 0.00225, 0.00915, -0.00334, -0.00842, 0.0001, -0.0054, 0.30193, 0.40811, -10.39155, 0.69998, -24.47344
4, 1, -0.67157, -1.79132, 9.41678, 9.42677, 0.00225, 0.00915, -0.00334, -0.00842, 0.0001, -0.0054, 0.30316, 0.40815, -10.21137, 0.61509, -24.58485
5, 0, -0.71018, -1.79103, 9.33099, 9.34098, 0.00225, 0.00915, -0.00334, -0.00842, 0.0001, -0.0054, 0.30315, 0.40815, -10.29163, 0.61663, -24.63471
6, 7, -0.80943, -2.35731, 9.4776, 9.48759, -0.00225, -0.00915, 0.00334, -0.00842, 0.0001, -0.0054, 0.30298, 0.41207, -10.29902, 0.28739, -24.46062
7, 6, -0.94546, -2.23841, 9.54129, 9.55128, -0.00225, -0.00915, 0.00334, -0.00842, 0.0001, -0.0054, 0.302, 0.41204, -10.38004, 0.35501, -24.32976
8, 5, -0.984, -2.23831, 9.45507, 9.46506, -0.00225, -0.00915, 0.00334, -0.00842, 0.0001, -0.0054, 0.30199, 0.41204, -10.46048, 0.35644, -24.38004
9, 7, -0.80943, -2.35731, 9.4776, 9.48759, -0.00225, -0.00915, 0.00334, -0.00842, 0.0001, -0.0054, 0.30298, 0.41207, -10.29902, 0.28739, -24.46062
10, 5, -0.984, -2.23831, 9.45507, 9.46506, -0.00225, -0.00915, 0.00334, -0.00842, 0.0001, -0.0054, 0.30199, 0.41204, -10.46048, 0.35644, -24.38004
11, 4, -0.84809, -2.35721, 9.39111, 9.4011, -0.00225, -0.00915, 0.00334, -0.00842, 0.0001, -0.0054, 0.30298, 0.41207, -10.37971, 0.28883, -24.51105
12, 11, -0.66202, -2.0082, 9.41133, 9.42131, 0.00409, -0.00631, -0.0066, -0.00844, 0.00013, -0.00536, 0.30348, 0.40936, -10.20728, 0.48998, -24.59646
13, 10, -0.80943, -2.35731, 9.4776, 9.48759, 0.00409, -0.00631, -0.0066, 0.00845, -0.00011, 0.00534, 0.30298, 0.41207, -10.29902, 0.28739, -24.46062
14, 9, -0.84809, -2.35721, 9.39111, 9.4011, 0.00409, -0.00631, -0.0066, -0.00844, 0.00013, -0.00536, 0.30298, 0.41207, -10.37971, 0.28883, -24.51105
15, 11, -0.66202, -2.0082, 9.41133, 9.42131, 0.00409, -0.00631, -0.0066, -0.00844, 0.00013, -0.00536, 0.30348, 0.40936, -10.20728, 0.48998, -24.59646
16, 9, -0.84809, -2.35721, 9.39111, 9.4011, 0.00409, -0.00631, -0.0066, -0.00844, 0.00013, -0.00536, 0.30298, 0.41207, -10.37971, 0.28883, -24.51105
17, 8, -0.72049, -2.00922, 9.27687, 9.28686, 0.00409, -0.00631, -0.0066, -0.00844, 0.00013, -0.00536, 0.30348, 0.40936, -10.33132, 0.49154, -24.67579
18, 15, -0.91823, -1.78473, 9.5298, 9.53979, 0.00844, -0.0002, 0.00536, 0.00489, -0.00385, -0.00783, 0.30162, 0.40929, -10.3607, 0.61709, -24.35122
19, 14, -0.94546, -2.23841, 9.54129, 9.55128, 0.00844, -0.0002, 0.00536, 0.00488, -0.00385, -0.00783, 0.302, 0.41204, -10.38004, 0.35501, -24.32976
20, 13, -0.80943, -2.35731, 9.4776, 9.48759, 0.00844, -0.0002, 0.00536, 0.00488, -0.00385, -0.00783, 0.30298, 0.41207, -10.29902, 0.28739, -24.46062
21, 15, -0.91823, -1.78473, 9.5298, 9.53979, 0.00844, -0.0002, 0.00536, 0.00489, -0.00385, -0.00783, 0.30162, 0.40929, -10.3607, 0.61709, -24.35122
22, 13, -0.80943, -2.35731, 9.4776, 9.48759, 0.00844, -0.0002, 0.00536, 0.00488, -0.00385, -0.00783, 0.30298, 0.41207, -10.29902, 0.28739, -24.46062
23, 12, -0.66202, -2.0082, 9.41133, 9.42131, 0.00844, -0.0002, 0.00536, 0.00489, -0.00385, -0.00783, 0.30348, 0.40936, -10.20728, 0.48998, -24.59646
