VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 2, -18.65659, 7.15684, 36.25449, 36.26445, 0.00122, 0.00379, -0.00917, -0.00094, -0.00916, -0.00391, 0.81243, 0.6565, -10.83594, 5.35127, 8.04788
1, 1, -18.97883, 6.48631, 36.35039, 36.36035, -0.00035, -0.00899, -0.00436, -0.00058, -0.00434, 0.00899, 0.81268, 0.65661, -11.06294, 4.96265, 8.30462
2, 0, -19.13972, 6.6068, 36.02687, 36.03683, -0.00073, -0.00629, -0.00774, -0.0006, -0.00772, 0.00633, 0.81264, 0.65677, -11.37809, 5.03738, 8.12611
3, 5, -18.96008, 7.26458, 35.92436, 35.93432, -0.00156, 0.00341, -0.00927, -0.00217, -0.00927, -0.00304, 0.81348, 0.65813, -11.27706, 5.41874, 7.9442
4, 4, -19.29511, 7.99771, 36.62828, 36.63824, -0.00004, 0.00704, -0.0071, -0.00222, -0.00693, -0.00686, 0.81304, 0.65819, -11.17371, 5.8307, 8.72684
5, 3, -18.65659, 7.15684, 36.25449, 36.26445, 0.00122, 0.00379, -0.00917, -0.00094, -0.00916, -0.00391, 0.81336, 0.65788, -10.83594, 5.35127, 8.04788
6, 8, -19.60167, 6.59738, 35.93938, 35.94935, -0.00596, -0.00062, -0.00801, -0.00081, -0.00987, 0.00137, 0.81263, 0.65702, -11.8223, 5.03335, 8.3136
7, 7, -19.66038, 7.66697, 36.36604, 36.376, -0.00539, 0.00596, -0.00594, -0.00225, -0.00782, -0.00581, 0.81238, 0.65701, -11.63271, 5.64397, 8.71134
8, 6, -18.96008, 7.26458, 35.92436, 35.93432, -0.00156, 0.00341, -0.00927, -0.00217, -0.00927, -0.00304, 0.81243, 0.65675, -11.27706, 5.41874, 7.9442
9, 11, -19.66038, 7.66697, 36.36604, 36.376, -0.00539, 0.00596, -0.00594, -0.00139, -0.00759, -0.00636, 0.8131, 0.65839, -11.63271, 5.64397, 8.71134
10, 10, -19.29511, 7.99771, 36.62828, 36.63824, -0.00004, 0.00704, -0.0071, -0.00222, -0.00693, -0.00686, 0.81304, 0.65819, -11.17371, 5.8307, 8.72684
11, 9, -18.96008, 7.26458, 35.92436, 35.93432, -0.00156, 0.00341, -0.00927, -0.00217, -0.00927, -0.00304, 0.81348, 0.65813, -11.27706, 5.41874, 7.9442
12, 14, -20.38895, 6.72824, 36.23071, 36.24067, -0.00903, 0.00287, -0.0032, -0.00204, -0.00941, -0.00268, 0.81256, 0.65734, -12.33655, 5.10423, 9.00213
13, 13, -19.66038, 7.66697, 36.36604, 36.376, -0.00539, 0.00596, -0.00594, -0.00225, -0.00782, -0.00581, 0.81238, 0.65701, -11.63271, 5.64397, 8.71134
14, 12, -19.60167, 6.59738, 35.93938, 35.94935, -0.00596, -0.00062, -0.00801, -0.00081, -0.00987, 0.00137, 0.81263, 0.65702, -11.8223, 5.03335, 8.3136
15, 17, -18.65659, 7.15684, 36.25449, 36.26445, 0.00122, 0.00379, -0.00917, -0.00094, -0.00916, -0.00391, 0.81243, 0.6565, -10.83594, 5.35127, 8.04788
16, 16, -19.13972, 6.6068, 36.02687, 36.03683, -0.00073, -0.00629, -0.00774, -0.0006, -0.00772, 0.00633, 0.81264, 0.65677, -11.37809, 5.03738, 8.12611
17, 15, -18.96008, 7.26458, 35.92436, 35.93432, -0.00156, 0.00341, -0.00927, -0.00217, -0.00927, -0.00304, 0.81243, 0.65675, -11.27706, 5.41874, 7.9442
18, 20, -18.81375, 6.18106, 37.03069, 37.04065, -0.00377, -0.00918, -0.00119, -0.00911, 0.00345, 0.00226, 0.81702, 0.65229, -10.54903, 4.77555, 8.77736
19, 19, -18.49922, 6.46391, 36.39759, 36.40755, -0.00077, -0.00647, -0.00759, -0.00996, 0.0008, 0.00033, 0.817, 0.65269, -10.62588, 4.94897, 8.07328
20, 18, -18.39304, 5.85581, 37.29064, 37.30061, 0.00127, -0.00859, -0.00496, -0.00991, -0.00135, -0.0002, 0.81672, 0.65223, -10.04708, 4.58364, 8.7546
21, 23, -19.6734, 6.22616, 36.11657, 36.12653, 0.00074, -0.0091, -0.00407, -0.00025, -0.0041, 0.00912, 0.81276, 0.657, -11.78831, 4.81622, 8.4992
22, 22, -20.28318, 5.82453, 36.03873, 36.04869, -0.00613, -0.00724, -0.00315, 0.00371, -0.00616, 0.00695, 0.81279, 0.65731, -12.35597, 4.58561, 8.77513
23, 21, -19.60167, 6.59738, 35.93938, 35.94935, -0.00596, -0.00062, -0.00801, -0.00081, -0.00987, 0.00137, 0.81263, 0.65702, -11.8223, 5.03335, 8.3136
24, 26, -18.65659, 7.15684, 36.25449, 36.26445, 0.00122, 0.00379, -0.00917, -0.00094, -0.00916, -0.00391, 0.81243, 0.6565, -10.83594, 5.35127, 8.04788
25, 25, -18.49922, 6.46391, 36.39759, 36.40755, -0.00077, -0.00647, -0.00759, -0.00112, -0.00751, 0.00651, 0.81261, 0.65634, -10.62588, 4.94897, 8.07328
26, 24, -18.97883, 6.48631, 36.35039, 36.36035, -0.00035, -0.00899, -0.00436, -0.00058, -0.00434, 0.00899, 0.81268, 0.65661, -11.06294, 4.96265, 8.30462
27, 29, -18.49922, 6.46391, 36.39759, 36.40755, -0.00077, -0.00647, -0.00759, 0.00729, 0.00483, -0.00486, 0.82012, 0.65309, -10.62588, 4.94897, 8.07328
28, 28, -18.19546, 6.11802, 37.48087, 37.49083, 0.00548, -0.00435, -0.00715, 0.00478, 0.00864, -0.0016, 0.82007, 0.6536, -9.77178, 4.73196, 8.80404
29, 27, -18.39304, 5.85581, 37.29064, 37.30061, 0.00127, -0.00859, -0.00496, 0.00852, 0.0035, -0.00389, 0.81994, 0.65354, -10.04708, 4.58364, 8.7546
30, 32, -19.97101, 6.44531, 37.10665, 37.11662, -0.00085, -0.0098, -0.00181, -0.00972, 0.00042, 0.0023, 0.81762, 0.65202, -11.49819, 4.92689, 9.49578
31, 31, -20.2258, 6.30496, 36.77219, 36.78215, 0.00057, -0.00952, 0.00301, -0.00974, 0.00013, 0.00225, 0.81781, 0.65214, -11.90119, 4.85121, 9.35908
32, 30, -20.28318, 5.82453, 36.03873, 36.04869, -0.00613, -0.00724, -0.00315, -0.00755, 0.00421, 0.00503, 0.81797, 0.65251, -12.35597, 4.58561, 8.77513
33, 35, -19.29511, 7.99771, 36.62828, 36.63824, -0.00004, 0.00704, -0.0071, -0.00222, -0.00693, -0.00686, 0.81304, 0.65819, -11.17371, 5.8307, 8.72684
34, 34, -18.31759, 6.91213, 36.44217, 36.45214, 0.00244, 0.00174, -0.00954, -0.00437, -0.00858, -0.00268, 0.81332, 0.65764, -10.44337, 5.207, 8.0115
35, 33, -18.65659, 7.15684, 36.25449, 36.26445, 0.00122, 0.00379, -0.00917, -0.00094, -0.00916, -0.00391, 0.81336, 0.65788, -10.83594, 5.35127, 8.04788
36, 38, -20.28318, 5.82453, 36.03873, 36.04869, -0.00613, -0.00724, -0.00315, 0.00371, -0.00616, 0.00695, 0.82128, 0.65799, -12.35597, 4.58561, 8.77513
37, 37, -20.38895, 6.72824, 36.23071, 36.24067, -0.00903, 0.00287, -0.0032, -0.00204, -0.00941, -0.00268, 0.82105, 0.6581, -12.33655, 5.10423, 9.00213
38, 36, -19.60167, 6.59738, 35.93938, 35.94935, -0.00596, -0.00062, -0.00801, -0.00081, -0.00987, 0.00137, 0.82112, 0.65779, -11.8223, 5.03335, 8.3136
39, 41, -19.6734, 6.22616, 36.11657, 36.12653, 0.00074, -0.0091, -0.00407, -0.00025, -0.0041, 0.00912, 0.81276, 0.657, -11.78831, 4.81622, 8.4992
40, 40, -19.60167, 6.59738, 35.93938, 35.94935, -0.00596, -0.00062, -0.00801, -0.00081, -0.00987, 0.00137, 0.81263, 0.65702, -11.8223, 5.03335, 8.3136
41, 39, -19.13972, 6.6068, 36.02687, 36.03683, -0.00073, -0.00629, -0.00774, -0.0006, -0.00772, 0.00633, 0.81264, 0.65677, -11.37809, 5.03738, 8.12611
42, 44, -20.28318, 5.82453, 36.03873, 36.04869, -0.00613, -0.00724, -0.00315, -0.00755, 0.00421, 0.00503, 0.81797, 0.65251, -12.35597, 4.58561, 8.77513
43, 43, -19.6734, 6.22616, 36.11657, 36.12653, 0.00074, -0.0091, -0.00407, -0.00954, -0.00184, 0.00238, 0.81766, 0.6526, -11.78831, 4.81622, 8.4992
44, 42, -19.97101, 6.44531, 37.10665, 37.11662, -0.00085, -0.0098, -0.00181, -0.00972, 0.00042, 0.0023, 0.81762, 0.65202, -11.49819, 4.92689, 9.49578
45, 47, -19.60167, 6.59738, 35.93938, 35.94935, -0.00596, -0.00062, -0.00801, -0.00081, -0.00987, 0.00137, 0.81263, 0.65702, -11.8223, 5.03335, 8.3136
46, 46, -18.96008, 7.26458, 35.92436, 35.93432, -0.00156, 0.00341, -0.00927, -0.00217, -0.00927, -0.00304, 0.81243, 0.65675, -11.27706, 5.41874, 7.9442
47, 45, -19.13972, 6.6068, 36.02687, 36.03683, -0.00073, -0.00629, -0.00774, -0.0006, -0.00772, 0.00633, 0.81264, 0.65677, -11.37809, 5.03738, 8.12611
48, 50, -21.10572, 6.26699, 36.99392, 37.00388, -0.00819, -0.00561, -0.00118, -0.00544, 0.00696, 0.00469, 0.81819, 0.65185, -12.53398, 4.82575, 10.04045
49, 49, -20.868, 5.99007, 37.71217, 37.72213, -0.00136, -0.00972, -0.00193, -0.00968, 0.0009, 0.00232, 0.81795, 0.65151, -11.93679, 4.6544, 10.50412
50, 48, -21.3286, 6.19431, 37.70446, 37.71443, -0.0076, -0.0052, 0.0039, -0.00575, 0.00818, -0.0003, 0.81818, 0.65143, -12.33492, 4.77243, 10.75913
51, 53, -20.68222, 6.39938, 36.74139, 36.75135, -0.00183, -0.00983, -0.00026, -0.00959, 0.00173, 0.00226, 0.81803, 0.65206, -12.30899, 4.90622, 9.59161
