VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 8.32653, 2.33229, 37.70137, 37.71133, 1.31969E-08, 1.62921E-09, -0.01, -0.01, 2.15004E-15, -1.31969E-08, 0.93533, 0.76721, 13.07063, 2.54302, -6.00493
1, 2, 21.26582, 2.57447, 46.43953, 46.44948, 1.31969E-08, 1.62921E-09, -0.01, -0.01, 2.15004E-15, -1.31969E-08, 0.93494, 0.76721, 28.96896, 2.54302, -6.00491
2, 1, 21.26582, -0.81866, 46.47087, 46.48083, 1.31969E-08, 1.62921E-09, -0.01, -0.01, 2.15004E-15, -1.31969E-08, 0.93494, 0.76738, 28.96896, 0.58374, -6.00491
3, 3, 8.32653, 2.33229, 37.70137, 37.71133, 1.31969E-08, 1.62921E-09, -0.01, -0.01, 2.15004E-15, -1.31969E-08, 0.93533, 0.76721, 13.07063, 2.54302, -6.00493
4, 1, 21.26582, -0.81866, 46.47087, 46.48083, 1.31969E-08, 1.62921E-09, -0.01, -0.01, 2.15004E-15, -1.31969E-08, 0.93494, 0.76738, 28.96896, 0.58374, -6.00491
5, 0, 8.32653, -1.06084, 37.73272, 37.74268, 1.31969E-08, 1.62921E-09, -0.01, -0.01, 2.15004E-15, -1.31969E-08, 0.93533, 0.76738, 13.07063, 0.58374, -6.00493
6, 7, -9.6476, -0.28391, 65.76527, 65.77521, -1.67960E-08, -1.62921E-09, 0.01, -0.01, 2.73642E-15, -1.67960E-08, 0.93533, 0.76686, 13.07062, 0.58375, 27.55661
7, 6, 3.29168, -0.04173, 74.50343, 74.51337, -1.67960E-08, -1.62921E-09, 0.01, -0.01, 2.73642E-15, -1.67960E-08, 0.93494, 0.76686, 28.96895, 0.58375, 27.55664
8, 5, 3.29168, 3.3514, 74.47209, 74.48202, -1.67960E-08, -1.62921E-09, 0.01, -0.01, 2.73642E-15, -1.67960E-08, 0.93494, 0.76704, 28.96895, 2.54302, 27.55664
9, 7, -9.6476, -0.28391, 65.76527, 65.77521, -1.67960E-08, -1.62921E-09, 0.01, -0.01, 2.73642E-15, -1.67960E-08, 0.93533, 0.76686, 13.07062, 0.58375, 27.55661
