VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, -18.31742, -0.60574, 39.17368, 39.18364, 4.65597E-09, 0.00632, -0.00775, -5.66007E-10, 0.00775, 0.00632, 0.87804, 0.18613, -8.98009, 0.82341, 10.2349
1, 2, -18.41576, -0.60986, 39.02492, 39.03488, 0.00548, 0.00632, -0.00548, -0.00821, 0.00279, -0.00499, 0.87617, 0.18613, -9.14618, 0.82341, 10.16609
2, 1, -18.42823, -0.58204, 39.02731, 39.03727, 0.00548, 0.00632, -0.00548, -0.00207, 0.00737, 0.00643, 0.87617, 0.18613, -9.15543, 0.83944, 10.17534
3, 3, -18.31742, -0.60574, 39.17368, 39.18364, 4.65597E-09, 0.00632, -0.00775, -5.66007E-10, 0.00775, 0.00632, 0.87804, 0.18613, -8.98009, 0.82341, 10.2349
4, 1, -18.42823, -0.58204, 39.02731, 39.03727, 0.00548, 0.00632, -0.00548, -0.00207, 0.00737, 0.00643, 0.87617, 0.18613, -9.15543, 0.83944, 10.17534
5, 0, -18.32442, -0.57768, 39.18434, 39.1943, 5.42708E-09, 0.00632, -0.00775, 0.00154, 0.00766, 0.00624, 0.87804, 0.18613, -8.98009, 0.83944, 10.24797
6, 7, -18.24862, -1.62164, 38.70313, 38.71309, -0.00707, -7.33821E-10, -0.00707, 0.00707, -4.94016E-10, -0.00707, 0.01199, 0.76016, -9.18488, 0.24448, 9.79521
7, 6, -18.24862, -2.04504, 38.70704, 38.717, -0.00707, -7.33821E-10, -0.00707, 0.00707, 5.88690E-11, -0.00707, 0.01188, 0.75911, -9.18488, 4.47035E-08, 9.79521
8, 5, -18.42733, -2.04159, 38.83147, 38.84143, -0.01, -9.55788E-10, 2.17680E-08, -2.16568E-08, -4.09188E-10, -0.01, 0.01172, 0.75911, -9.2697, 5.21541E-08, 10.00
9, 7, -18.24862, -1.62164, 38.70313, 38.71309, -0.00707, -7.33821E-10, -0.00707, 0.00707, -4.94016E-10, -0.00707, 0.01199, 0.76016, -9.18488, 0.24448, 9.79521
10, 5, -18.42733, -2.04159, 38.83147, 38.84143, -0.01, -9.55788E-10, 2.17680E-08, -2.16568E-08, -4.09188E-10, -0.01, 0.01172, 0.75911, -9.2697, 5.21541E-08, 10.00
11, 4, -18.42733, -1.61819, 38.82756, 38.83752, -0.01, -9.55788E-10, 2.17680E-08, -2.16568E-08, -2.00544E-10, -0.01, 0.01183, 0.76016, -9.2697, 0.24448, 10.00
12, 11, -18.24862, -1.13705, 38.69865, 38.70861, -0.00707, -3.21449E-10, -0.00707, 0.00707, -3.05257E-09, -0.00707, 0.01212, 0.76037, -9.18488, 0.52429, 9.79521
13, 10, -18.24862, -1.49927, 38.702, 38.71196, -0.00707, -3.21449E-10, -0.00707, 0.00707, -1.28142E-09, -0.00707, 0.01202, 0.75947, -9.18488, 0.31514, 9.79521
14, 9, -18.42733, -1.49582, 38.82643, 38.83639, -0.01, -1.36475E-09, 2.25894E-08, -2.25455E-08, -2.43987E-09, -0.01, 0.01187, 0.75947, -9.2697, 0.31514, 10.00
15, 11, -18.24862, -1.13705, 38.69865, 38.70861, -0.00707, -3.21449E-10, -0.00707, 0.00707, -3.05257E-09, -0.00707, 0.01212, 0.76037, -9.18488, 0.52429, 9.79521
16, 9, -18.42733, -1.49582, 38.82643, 38.83639, -0.01, -1.36475E-09, 2.25894E-08, -2.25455E-08, -2.43987E-09, -0.01, 0.01187, 0.75947, -9.2697, 0.31514, 10.00
17, 8, -18.42733, -1.13361, 38.82309, 38.83305, -0.01, -1.36475E-09, 2.30002E-08, -2.26773E-08, -2.43987E-09, -0.01, 0.01196, 0.76037, -9.2697, 0.52429, 10.00
