VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 9.61976, -0.8894, 57.93261, 57.94255, -0.0098, 0.00197, -1.30727E-10, -0.00193, -0.00962, 0.00193, 0.85939, 0.69488, 25.28271, 0.35953, 10.13884
1, 2, 9.76849, -0.89583, 57.70065, 57.71059, -0.0098, 0.00197, -1.30727E-10, -0.00143, -0.00709, -0.0069, 0.85939, 0.69488, 25.28271, 0.35953, 9.86114
2, 1, 9.74837, -1.52125, 57.6063, 57.61624, -0.0098, 0.00197, -1.30727E-10, -0.00193, -0.00962, 0.00193, 0.85939, 0.69488, 25.21043, 0.00, 9.78885
3, 3, 9.61976, -0.8894, 57.93261, 57.94255, -0.0098, 0.00197, -1.30727E-10, -0.00193, -0.00962, 0.00193, 0.85939, 0.69488, 25.28271, 0.35953, 10.13884
4, 1, 9.74837, -1.52125, 57.6063, 57.61624, -0.0098, 0.00197, -1.30727E-10, -0.00193, -0.00962, 0.00193, 0.85939, 0.69488, 25.21043, 0.00, 9.78885
5, 0, 9.52222, -1.51147, 57.95901, 57.96895, -0.0098, 0.00197, -1.30727E-10, -0.00193, -0.00962, 0.00193, 0.85939, 0.69488, 25.21043, 8.84174E-08, 10.21113
6, 7, 9.84579, 0.16517, 58.07554, 58.08549, 0.00, 0.01, -4.80983E-09, -0.01, 2.58079E-16, 5.36566E-10, 0.85939, 0.69488, 25.56043, 0.96602, 10.13884
7, 6, 9.99451, 0.15874, 57.84359, 57.85353, 0.00, 0.01, -4.80983E-09, -0.00707, -3.40100E-09, -0.00707, 0.85939, 0.69488, 25.56043, 0.96602, 9.86114
8, 5, 9.76849, 0.15451, 57.69095, 57.70089, 0.00, 0.01, -4.80983E-09, -0.01, 2.58079E-16, 5.36566E-10, 0.85939, 0.69488, 25.28271, 0.96602, 9.86114
9, 7, 9.84579, 0.16517, 58.07554, 58.08549, 0.00, 0.01, -4.80983E-09, -0.01, 2.58079E-16, 5.36566E-10, 0.85939, 0.69488, 25.56043, 0.96602, 10.13884
10, 5, 9.76849, 0.15451, 57.69095, 57.70089, 0.00, 0.01, -4.80983E-09, -0.01, 2.58079E-16, 5.36566E-10, 0.85939, 0.69488, 25.28271, 0.96602, 9.86114
11, 4, 9.61976, 0.16094, 57.9229, 57.93285, 0.00, 0.01, -4.80983E-09, -0.01, 2.58079E-16, 5.36566E-10, 0.85939, 0.69488, 25.28271, 0.96602, 10.13884
12, 11, 9.8659, -1.50504, 58.1911, 58.20105, 0.0098, 0.00197, -5.23739E-10, -0.00193, 0.00962, -0.00193, 0.85939, 0.69488, 25.63271, 1.20569E-07, 10.21113
13, 10, 10.09206, -1.51481, 57.83839, 57.84834, 0.0098, 0.00197, -5.23739E-10, -0.00143, 0.00709, -0.0069, 0.85939, 0.69488, 25.63271, 3.21522E-08, 9.78885
14, 9, 9.99451, -0.8916, 57.85329, 57.86324, 0.0098, 0.00197, -5.23739E-10, -0.00193, 0.00962, -0.00193, 0.85939, 0.69488, 25.56043, 0.35953, 9.86114
15, 11, 9.8659, -1.50504, 58.1911, 58.20105, 0.0098, 0.00197, -5.23739E-10, -0.00193, 0.00962, -0.00193, 0.85939, 0.69488, 25.63271, 1.20569E-07, 10.21113
16, 9, 9.99451, -0.8916, 57.85329, 57.86324, 0.0098, 0.00197, -5.23739E-10, -0.00193, 0.00962, -0.00193, 0.85939, 0.69488, 25.56043, 0.35953, 9.86114
17, 8, 9.84579, -0.88517, 58.08524, 58.09519, 0.0098, 0.00197, -5.23739E-10, -0.00193, 0.00962, -0.00193, 0.85939, 0.69488, 25.56043, 0.35953, 10.13884
18, 15, 9.76849, -0.89583, 57.70065, 57.71059, -7.07631E-10, 0.00197, -0.0098, -0.00193, -0.00962, -0.00193, 0.85939, 0.69488, 25.28271, 0.35953, 9.86114
19, 14, 9.99451, -0.8916, 57.85329, 57.86324, -7.07631E-10, 0.00197, -0.0098, 0.0069, -0.00709, -0.00143, 0.85939, 0.69488, 25.56043, 0.35953, 9.86114
20, 13, 10.09206, -1.51481, 57.83839, 57.84834, -7.07631E-10, 0.00197, -0.0098, -0.00193, -0.00962, -0.00193, 0.85939, 0.69488, 25.63271, 3.21522E-08, 9.78885
21, 15, 9.76849, -0.89583, 57.70065, 57.71059, -7.07631E-10, 0.00197, -0.0098, -0.00193, -0.00962, -0.00193, 0.85939, 0.69488, 25.28271, 0.35953, 9.86114
22, 13, 10.09206, -1.51481, 57.83839, 57.84834, -7.07631E-10, 0.00197, -0.0098, -0.00193, -0.00962, -0.00193, 0.85939, 0.69488, 25.63271, 3.21522E-08, 9.78885
23, 12, 9.74837, -1.52125, 57.6063, 57.61624, -7.07631E-10, 0.00197, -0.0098, -0.00193, -0.00962, -0.00193, 0.85939, 0.69488, 25.21043, 0.00, 9.78885
24, 19, 9.84579, -0.88517, 58.08524, 58.09519, 4.17391E-10, 0.00197, 0.0098, 0.00193, -0.00962, 0.00193, 0.85939, 0.69488, 25.56043, 0.35953, 10.13884
25, 18, 9.61976, -0.8894, 57.93261, 57.94255, 4.17391E-10, 0.00197, 0.0098, -0.0069, -0.00709, 0.00143, 0.85939, 0.69488, 25.28271, 0.35953, 10.13884
26, 17, 9.52222, -1.51147, 57.95901, 57.96895, 4.17391E-10, 0.00197, 0.0098, 0.00193, -0.00962, 0.00193, 0.85939, 0.69488, 25.21043, 8.84174E-08, 10.21113
27, 19, 9.84579, -0.88517, 58.08524, 58.09519, 4.17391E-10, 0.00197, 0.0098, 0.00193, -0.00962, 0.00193, 0.85939, 0.69488, 25.56043, 0.35953, 10.13884
28, 17, 9.52222, -1.51147, 57.95901, 57.96895, 4.17391E-10, 0.00197, 0.0098, 0.00193, -0.00962, 0.00193, 0.85939, 0.69488, 25.21043, 8.84174E-08, 10.21113
29, 16, 9.8659, -1.50504, 58.1911, 58.20105, 4.17391E-10, 0.00197, 0.0098, 0.00193, -0.00962, 0.00193, 0.85939, 0.69488, 25.63271, 1.20569E-07, 10.21113
30, 23, 9.61976, 0.16094, 57.9229, 57.93285, -0.01, -2.21124E-09, 5.89412E-10, 2.21124E-09, -0.01, 9.06455E-11, 0.85939, 0.69488, 25.28271, 0.96602, 10.13884
31, 22, 9.76849, 0.15451, 57.69095, 57.70089, -0.01, -2.21124E-09, 5.89412E-10, 1.76512E-09, -0.00909, -0.00416, 0.85939, 0.69488, 25.28271, 0.96602, 9.86114
32, 21, 9.76849, -0.89583, 57.70065, 57.71059, -0.01, -2.21124E-09, 5.89412E-10, 2.21124E-09, -0.01, 9.06455E-11, 0.85939, 0.69488, 25.28271, 0.35953, 9.86114
33, 23, 9.61976, 0.16094, 57.9229, 57.93285, -0.01, -2.21124E-09, 5.89412E-10, 2.21124E-09, -0.01, 9.06455E-11, 0.85939, 0.69488, 25.28271, 0.96602, 10.13884
34, 21, 9.76849, -0.89583, 57.70065, 57.71059, -0.01, -2.21124E-09, 5.89412E-10, 2.21124E-09, -0.01, 9.06455E-11, 0.85939, 0.69488, 25.28271, 0.35953, 9.86114
35, 20, 9.61976, -0.8894, 57.93261, 57.94255, -0.01, -2.21124E-09, 5.89412E-10, 2.21124E-09, -0.01, 9.06455E-11, 0.85939, 0.69488, 25.28271, 0.35953, 10.13884
36, 27, 9.76849, 0.15451, 57.69095, 57.70089, -5.36566E-10, 3.02157E-10, -0.01, 2.21124E-09, -0.01, -3.02157E-10, 0.85939, 0.69488, 25.28271, 0.96602, 9.86114
37, 26, 9.99451, 0.15874, 57.84359, 57.85353, -5.36566E-10, 3.02157E-10, -0.01, 0.00416, -0.00909, -4.98113E-10, 0.85939, 0.69488, 25.56043, 0.96602, 9.86114
38, 25, 9.99451, -0.8916, 57.85329, 57.86324, -5.36566E-10, 3.02157E-10, -0.01, 2.21124E-09, -0.01, -3.02157E-10, 0.85939, 0.69488, 25.56043, 0.35953, 9.86114
39, 27, 9.76849, 0.15451, 57.69095, 57.70089, -5.36566E-10, 3.02157E-10, -0.01, 2.21124E-09, -0.01, -3.02157E-10, 0.85939, 0.69488, 25.28271, 0.96602, 9.86114
40, 25, 9.99451, -0.8916, 57.85329, 57.86324, -5.36566E-10, 3.02157E-10, -0.01, 2.21124E-09, -0.01, -3.02157E-10, 0.85939, 0.69488, 25.56043, 0.35953, 9.86114
41, 24, 9.76849, -0.89583, 57.70065, 57.71059, -5.36566E-10, 3.02157E-10, -0.01, 2.21124E-09, -0.01, -3.02157E-10, 0.85939, 0.69488, 25.28271, 0.35953, 9.86114
