VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, -3.37651, 0.09654, 49.65351, 49.66346, 0.00, 5.92857E-10, 0.01, 0.00, 0.01, -5.92857E-10, 0.80753, 0.61182, 9.59407, 1.06115, 10.56388
1, 2, -3.37651, 0.49041, 49.64987, 49.65982, 0.00, 5.92857E-10, 0.01, 0.00, 0.01, -5.92857E-10, 0.80775, 0.61182, 9.59407, 1.28858, 10.56388
2, 1, -4.33644, 0.47245, 49.00162, 49.01157, 0.00, 5.92857E-10, 0.01, 0.00, 0.01, -5.92857E-10, 0.80775, 0.61304, 8.41463, 1.28858, 10.56388
3, 3, -3.37651, 0.09654, 49.65351, 49.66346, 0.00, 5.92857E-10, 0.01, 0.00, 0.01, -5.92857E-10, 0.80753, 0.61182, 9.59407, 1.06115, 10.56388
4, 1, -4.33644, 0.47245, 49.00162, 49.01157, 0.00, 5.92857E-10, 0.01, 0.00, 0.01, -5.92857E-10, 0.80775, 0.61304, 8.41463, 1.28858, 10.56388
5, 0, -4.33644, 0.07858, 49.00526, 49.01521, 0.00, 5.92857E-10, 0.01, 0.00, 0.01, -5.92857E-10, 0.80753, 0.61304, 8.41463, 1.06115, 10.56388
6, 7, -3.37651, -0.34978, 49.65763, 49.66759, 0.00, 9.34242E-10, 0.01, 0.00, 0.01, -9.34242E-10, 0.80729, 0.61182, 9.59407, 0.80344, 10.56388
7, 6, -3.37651, -0.00836, 49.65448, 49.66443, 0.00, 9.34242E-10, 0.01, 0.00, 0.01, -9.34242E-10, 0.80747, 0.61182, 9.59407, 1.00058, 10.56388
8, 5, -4.33644, -0.02633, 49.00623, 49.01618, 0.00, 9.34242E-10, 0.01, 0.00, 0.01, -9.34242E-10, 0.80747, 0.61304, 8.41463, 1.00058, 10.56388
9, 7, -3.37651, -0.34978, 49.65763, 49.66759, 0.00, 9.34242E-10, 0.01, 0.00, 0.01, -9.34242E-10, 0.80729, 0.61182, 9.59407, 0.80344, 10.56388
