VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 22.94646, 1.57446, 61.80512, 61.81506, 0.01, -5.81164E-16, 3.56716E-09, 3.56716E-09, 2.51886E-10, -0.01, 0.83251, 0.69498, 38.85022, 1.7199, 5.87336
1, 2, 20.66445, 1.6731, 65.36416, 65.3741, 0.01, -5.81164E-16, 3.56716E-09, 3.56716E-09, 2.30366E-10, -0.01, 0.83249, 0.69498, 38.85022, 1.7199, 10.13437
2, 1, 20.66445, 1.38087, 65.36686, 65.37679, 0.01, -5.81164E-16, 3.56716E-09, 3.56716E-09, 2.51886E-10, -0.01, 0.83249, 0.69495, 38.85022, 1.55116, 10.13437
3, 3, 22.94646, 1.57446, 61.80512, 61.81506, 0.01, -5.81164E-16, 3.56716E-09, 3.56716E-09, 2.51886E-10, -0.01, 0.83251, 0.69498, 38.85022, 1.7199, 5.87336
4, 1, 20.66445, 1.38087, 65.36686, 65.37679, 0.01, -5.81164E-16, 3.56716E-09, 3.56716E-09, 2.51886E-10, -0.01, 0.83249, 0.69495, 38.85022, 1.55116, 10.13437
5, 0, 22.94646, 1.28223, 61.80782, 61.81776, 0.01, -5.81164E-16, 3.56716E-09, 3.56716E-09, 2.51886E-10, -0.01, 0.83251, 0.69495, 38.85022, 1.55116, 5.87336
6, 7, 22.80913, 1.57189, 61.71238, 61.72232, 0.00, 0.01, 2.30365E-10, 2.24962E-09, 2.30365E-10, -0.01, 0.83251, 0.695, 38.68148, 1.7199, 5.87336
7, 6, 20.52712, 1.67053, 65.27142, 65.28136, 0.00, 0.01, 2.30365E-10, 4.47629E-09, 2.30365E-10, -0.01, 0.83249, 0.695, 38.68148, 1.7199, 10.13437
8, 5, 20.66445, 1.6731, 65.36416, 65.3741, 0.00, 0.01, 2.30365E-10, 2.24962E-09, 2.30365E-10, -0.01, 0.83249, 0.69498, 38.85022, 1.7199, 10.13437
9, 7, 22.80913, 1.57189, 61.71238, 61.72232, 0.00, 0.01, 2.30365E-10, 2.24962E-09, 2.30365E-10, -0.01, 0.83251, 0.695, 38.68148, 1.7199, 5.87336
10, 5, 20.66445, 1.6731, 65.36416, 65.3741, 0.00, 0.01, 2.30365E-10, 2.24962E-09, 2.30365E-10, -0.01, 0.83249, 0.69498, 38.85022, 1.7199, 10.13437
11, 4, 22.94646, 1.57446, 61.80512, 61.81506, 0.00, 0.01, 2.30365E-10, 2.24962E-09, 2.30365E-10, -0.01, 0.83251, 0.69498, 38.85022, 1.7199, 5.87336
