VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 16.03947, -0.6565, 62.38946, 62.39939, 0.00061, 0.00066, 0.00996, 0.00988, 0.00137, -0.00069, 0.47244, 0.33483, 33.23787, 0.42267, 10.2412
1, 2, 15.89748, -0.71306, 62.24386, 62.2538, -0.00273, 0.00048, 0.00961, 0.00954, 0.00142, 0.00264, 0.47216, 0.33483, 33.03581, 0.39235, 10.19927
2, 1, 15.89842, -1.09015, 62.26458, 62.27452, -0.0027, 0.00034, 0.00962, 0.00953, 0.00152, 0.00262, 0.47217, 0.33521, 33.0461, 0.17433, 10.21313
3, 3, 16.03947, -0.6565, 62.38946, 62.39939, 0.00061, 0.00066, 0.00996, 0.00988, 0.00137, -0.00069, 0.47244, 0.33483, 33.23787, 0.42267, 10.2412
4, 1, 15.89842, -1.09015, 62.26458, 62.27452, -0.0027, 0.00034, 0.00962, 0.00953, 0.00152, 0.00262, 0.47217, 0.33521, 33.0461, 0.17433, 10.21313
5, 0, 16.02748, -1.03678, 62.39494, 62.40488, 0.00113, -0.00084, 0.0099, 0.00979, 0.00181, -0.00096, 0.47234, 0.33521, 33.22868, 0.20306, 10.24961
6, 7, 15.89748, -0.71306, 62.24386, 62.2538, -0.00273, 0.00048, 0.00961, 0.00301, 0.00953, 0.00038, 0.47216, 0.33483, 33.03581, 0.39235, 10.19927
7, 6, 15.77668, -0.77181, 62.08306, 62.09299, -0.00577, 0.00025, 0.00816, 0.00804, -0.00159, 0.00573, 0.47188, 0.3348, 32.84356, 0.36101, 10.13266
8, 5, 15.79035, -1.13372, 62.11806, 62.12801, -0.00596, -0.00136, 0.00791, 0.00146, 0.00951, 0.00274, 0.47178, 0.3344, 32.87268, 0.15153, 10.15139
9, 7, 15.89748, -0.71306, 62.24386, 62.2538, -0.00273, 0.00048, 0.00961, 0.00301, 0.00953, 0.00038, 0.47216, 0.33483, 33.03581, 0.39235, 10.19927
10, 5, 15.79035, -1.13372, 62.11806, 62.12801, -0.00596, -0.00136, 0.00791, 0.00146, 0.00951, 0.00274, 0.47178, 0.3344, 32.87268, 0.15153, 10.15139
11, 4, 15.89842, -1.09015, 62.26458, 62.27452, -0.0027, 0.00034, 0.00962, 0.00297, 0.00953, 0.0005, 0.47217, 0.33521, 33.0461, 0.17433, 10.21313
12, 11, 15.89816, -0.24867, 62.22054, 62.23047, -0.00274, 0.00059, 0.0096, 0.00912, 0.00333, 0.0024, 0.47217, 0.33557, 33.02593, 0.66081, 10.18298
13, 10, 15.79091, -0.29816, 62.07533, 62.08526, -0.00615, 0.00133, 0.00777, 0.00783, -0.00013, 0.00622, 0.47199, 0.33557, 32.85392, 0.63456, 10.12182
14, 9, 15.77668, -0.77181, 62.08306, 62.09299, -0.00577, 0.00025, 0.00816, 0.00804, -0.00159, 0.00573, 0.47188, 0.3348, 32.84356, 0.36101, 10.13266
