VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 18.59137, -1.27579, 63.32939, 63.33933, 6.17140E-10, -0.00707, -0.00707, 0.01, 8.34742E-10, 3.80239E-11, 0.87297, 0.86542, 35.93939, 0.05013, 9.58171
1, 2, 18.61822, -1.06735, 63.28559, 63.29552, 2.05718E-10, 3.97056E-10, -0.01, 0.00611, 0.00791, 5.58490E-10, 0.87297, 0.86542, 35.93939, 0.17116, 9.53158
2, 1, 18.69433, -1.06593, 63.33699, 63.34692, 2.05718E-10, -1.36606E-11, -0.01, 0.01, 5.31145E-10, 2.05718E-10, 0.87297, 0.86542, 36.03291, 0.17116, 9.53158
3, 3, 18.59137, -1.27579, 63.32939, 63.33933, 6.17140E-10, -0.00707, -0.00707, 0.01, 8.34742E-10, 3.80239E-11, 0.87297, 0.86542, 35.93939, 0.05013, 9.58171
4, 1, 18.69433, -1.06593, 63.33699, 63.34692, 2.05718E-10, -1.36606E-11, -0.01, 0.01, 5.31145E-10, 2.05718E-10, 0.87297, 0.86542, 36.03291, 0.17116, 9.53158
5, 0, 18.66748, -1.27437, 63.38079, 63.39073, 6.17140E-10, -0.00707, -0.00707, 0.01, 8.41707E-10, 3.10580E-11, 0.87297, 0.86542, 36.03291, 0.05013, 9.58171
6, 7, 18.61822, -1.06735, 63.28559, 63.29552, 2.05718E-10, 3.97056E-10, -0.01, 0.01, -8.16816E-18, 2.05718E-10, 0.87297, 0.86542, 35.93939, 0.17116, 9.53158
7, 6, 18.59137, -0.85659, 63.32552, 63.33546, 0.00, 0.00707, -0.00707, 0.00611, 0.0056, 0.0056, 0.87297, 0.86542, 35.93939, 0.29219, 9.58171
8, 5, 18.66748, -0.85517, 63.37692, 63.38686, 0.00, 0.00707, -0.00707, 0.01, 0.00, 0.00, 0.87297, 0.86542, 36.03291, 0.29219, 9.58171
9, 7, 18.61822, -1.06735, 63.28559, 63.29552, 2.05718E-10, 3.97056E-10, -0.01, 0.01, -8.16816E-18, 2.05718E-10, 0.87297, 0.86542, 35.93939, 0.17116, 9.53158
