VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 2, 21.40583, 1.67084, 65.7043, 65.71423, 0.01, 1.73462E-09, -8.15721E-10, 1.88664E-09, -0.00966, 0.00259, 0.83491, 0.73884, 39.67282, 1.71316, 10.00016
1, 1, 21.00854, -0.53715, 66.34447, 66.3544, 0.01, 7.49952E-10, -7.68820E-10, 9.67572E-10, -0.0094, 0.00342, 0.83491, 0.73884, 39.67282, 0.42829, 10.74198
2, 0, 21.17645, -1.08739, 66.0876, 66.09754, 0.01, 9.79179E-10, 1.59529E-16, 9.64265E-10, -0.00985, 0.00174, 0.83491, 0.73884, 39.67282, 0.11476, 10.42845
3, 5, 21.40583, 1.67084, 65.7043, 65.71423, 0.01, 1.73462E-09, -8.15721E-10, 1.88664E-09, -0.00966, 0.00259, 0.83491, 0.73884, 39.67282, 1.71316, 10.00016
4, 4, 21.17645, -1.08739, 66.0876, 66.09754, 0.01, 9.79179E-10, 1.59529E-16, 9.64265E-10, -0.00985, 0.00174, 0.83491, 0.73884, 39.67282, 0.11476, 10.42845
5, 3, 21.40583, -1.29605, 65.7317, 65.74165, 0.01, 1.04377E-09, 1.70051E-16, 1.03982E-09, -0.00996, -0.00087, 0.83491, 0.73884, 39.67282, 0.00, 10.00016
6, 8, 21.40583, 1.67084, 65.7043, 65.71423, 0.01, 1.73462E-09, -8.15721E-10, 1.88664E-09, -0.00966, 0.00259, 0.83491, 0.73884, 39.67282, 1.71316, 10.00016
7, 7, 21.40583, -1.29605, 65.7317, 65.74165, 0.01, 1.04377E-09, 1.70051E-16, 1.03982E-09, -0.00996, -0.00087, 0.83491, 0.73884, 39.67282, 0.00, 10.00016
8, 6, 21.6352, -1.10722, 65.37214, 65.38207, 0.01, 9.04600E-10, 1.47378E-16, 8.50115E-10, -0.0094, -0.00342, 0.83491, 0.73884, 39.67282, 0.11476, 9.57187
9, 11, 21.40583, 1.67084, 65.7043, 65.71423, 0.01, 1.73462E-09, -8.15721E-10, 9.53407E-10, -0.00819, -0.00573, 0.83491, 0.73884, 39.67282, 1.71316, 10.00016
10, 10, 21.6352, -1.10722, 65.37214, 65.38207, 0.01, 9.04600E-10, 1.47378E-16, 8.50115E-10, -0.0094, -0.00342, 0.83491, 0.73884, 39.67282, 0.11476, 9.57187
11, 9, 21.80311, -0.5715, 65.10525, 65.11518, 0.01, 1.05742E-09, -7.68820E-10, 4.25485E-10, -0.00819, -0.00573, 0.83491, 0.73884, 39.67282, 0.42829, 9.25834
12, 14, 21.40583, 1.67084, 65.7043, 65.71423, 0.01, 1.73462E-09, -8.15721E-10, 9.53407E-10, -0.00819, -0.00573, 0.83491, 0.73884, 39.67282, 1.71316, 10.00016
13, 13, 21.80311, -0.5715, 65.10525, 65.11518, 0.01, 1.05742E-09, -7.68820E-10, 4.25485E-10, -0.00819, -0.00573, 0.83491, 0.73884, 39.67282, 0.42829, 9.25834
14, 12, 21.86457, 0.16757, 65.00254, 65.01247, 0.01, 8.62312E-10, -2.05019E-09, -8.39955E-10, -0.00707, -0.00707, 0.83491, 0.73884, 39.67282, 0.85658, 9.14358
15, 17, 21.40583, 1.67084, 65.7043, 65.71423, 0.01, 1.73462E-09, -8.15721E-10, -5.78704E-12, -0.00423, -0.00906, 0.83491, 0.73884, 39.67282, 1.71316, 10.00016
16, 16, 21.86457, 0.16757, 65.00254, 65.01247, 0.01, 8.62312E-10, -2.05019E-09, -1.34436E-09, -0.005, -0.00866, 0.83491, 0.73884, 39.67282, 0.85658, 9.14358
17, 15, 21.80311, 0.91195, 65.09154, 65.10148, 0.01, -2.06390E-09, -6.06351E-10, -1.42214E-09, -0.00423, -0.00906, 0.83491, 0.73884, 39.67282, 1.28487, 9.25834
18, 20, 21.40583, 1.67084, 65.7043, 65.71423, 0.01, 1.73462E-09, -8.15721E-10, -5.78704E-12, -0.00423, -0.00906, 0.83491, 0.73884, 39.67282, 1.71316, 10.00016
19, 19, 21.80311, 0.91195, 65.09154, 65.10148, 0.01, -2.06390E-09, -6.06351E-10, -1.42214E-09, -0.00423, -0.00906, 0.83491, 0.73884, 39.67282, 1.28487, 9.25834
20, 18, 21.6352, 1.46219, 65.3484, 65.35834, 0.01, 8.99601E-09, -6.06349E-09, -3.52854E-09, -0.00259, -0.00966, 0.83491, 0.73884, 39.67282, 1.5984, 9.57187
21, 23, 21.40583, 1.67084, 65.7043, 65.71423, 0.01, 1.73462E-09, -8.15721E-10, 1.57374E-09, -0.005, 0.00866, 0.83491, 0.73884, 39.67282, 1.71316, 10.00016
22, 22, 21.17645, 1.48202, 66.06387, 66.07381, 0.01, 2.59692E-09, 3.03174E-09, -1.32710E-09, -0.005, 0.00866, 0.83491, 0.73884, 39.67282, 1.5984, 10.42845
23, 21, 21.00854, 0.94629, 66.33076, 66.3407, 0.01, 2.99396E-09, 3.03176E-10, 1.23442E-09, -0.005, 0.00866, 0.83491, 0.73884, 39.67282, 1.28487, 10.74198
24, 26, 21.40583, 1.67084, 65.7043, 65.71423, 0.01, 1.73462E-09, -8.15721E-10, 1.88664E-09, -0.00966, 0.00259, 0.83491, 0.73884, 39.67282, 1.71316, 10.00016
25, 25, 21.00854, 0.94629, 66.33076, 66.3407, 0.01, 2.99396E-09, 3.03176E-10, 1.90267E-09, -0.00707, 0.00707, 0.83491, 0.73884, 39.67282, 1.28487, 10.74198
26, 24, 20.94708, 0.20723, 66.43347, 66.44341, 0.01, 9.60535E-10, -2.05019E-09, 2.05386E-09, -0.00766, 0.00643, 0.83491, 0.73884, 39.67282, 0.85658, 10.85674
27, 29, 21.40583, 1.67084, 65.7043, 65.71423, 0.01, 1.73462E-09, -8.15721E-10, 1.88664E-09, -0.00966, 0.00259, 0.83491, 0.73884, 39.67282, 1.71316, 10.00016
28, 28, 20.94708, 0.20723, 66.43347, 66.44341, 0.01, 9.60535E-10, -2.05019E-09, 2.05386E-09, -0.00766, 0.00643, 0.83491, 0.73884, 39.67282, 0.85658, 10.85674
29, 27, 21.00854, -0.53715, 66.34447, 66.3544, 0.01, 7.49952E-10, -7.68820E-10, 9.67572E-10, -0.0094, 0.00342, 0.83491, 0.73884, 39.67282, 0.42829, 10.74198
30, 32, 20.92224, -0.53877, 66.28618, 66.29612, -0.01, -1.47415E-09, -1.31324E-09, 1.96122E-09, -0.00818, -0.00575, 0.83491, 0.73884, 39.56678, 0.42829, 10.74198
31, 31, 21.31952, 1.66923, 65.64602, 65.65595, -0.01, -1.73462E-09, 1.24075E-09, 3.49218E-10, -0.00707, -0.00707, 0.83491, 0.73884, 39.56678, 1.71316, 10.00016
32, 30, 21.09015, -1.08901, 66.02932, 66.03926, -0.01, -1.20946E-09, 2.24401E-10, 5.11932E-10, -0.00575, -0.00818, 0.83491, 0.73884, 39.56678, 0.11476, 10.42845
33, 35, 21.09015, -1.08901, 66.02932, 66.03926, -0.01, -1.20946E-09, 2.24401E-10, 5.11932E-10, -0.00575, -0.00818, 0.83491, 0.73884, 39.56678, 0.11476, 10.42845
34, 34, 21.31952, 1.66923, 65.64602, 65.65595, -0.01, -1.73462E-09, 1.24075E-09, 3.49218E-10, -0.00707, -0.00707, 0.83491, 0.73884, 39.56678, 1.71316, 10.00016
35, 33, 21.31952, -1.29767, 65.67342, 65.68336, -0.01, -6.95846E-10, 8.12353E-10, -7.47228E-10, -0.00089, -0.00996, 0.83491, 0.73884, 39.56678, 0.00, 10.00016
36, 38, 21.31952, -1.29767, 65.67342, 65.68336, -0.01, -6.95846E-10, 8.12353E-10, -7.47228E-10, -0.00089, -0.00996, 0.83491, 0.73884, 39.56678, 0.00, 10.00016
37, 37, 21.31952, 1.66923, 65.64602, 65.65595, -0.01, -1.73462E-09, 1.24075E-09, -1.85568E-09, 0.00421, -0.00907, 0.83491, 0.73884, 39.56678, 1.71316, 10.00016
38, 36, 21.5489, -1.10884, 65.31386, 65.32379, -0.01, -9.74185E-10, 7.50423E-10, -1.09079E-09, 0.00421, -0.00907, 0.83491, 0.73884, 39.56678, 0.11476, 9.57187
39, 41, 21.5489, -1.10884, 65.31386, 65.32379, -0.01, -9.74185E-10, 7.50423E-10, -1.09079E-09, 0.00421, -0.00907, 0.83491, 0.73884, 39.56678, 0.11476, 9.57187
40, 40, 21.31952, 1.66923, 65.64602, 65.65595, -0.01, -1.73462E-09, 1.24075E-09, -1.85568E-09, 0.00421, -0.00907, 0.83491, 0.73884, 39.56678, 1.71316, 10.00016
