VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 24.5076, -1.07348, 66.80768, 66.81762, 0.01, 2.82856E-16, -1.73616E-09, -1.66663E-09, 0.0028, -0.0096, 0.87093, 0.6517, 42.92486, 0.11127, 9.15054
1, 2, 24.45519, -1.07122, 66.88943, 66.89936, 0.01, 2.82856E-16, -1.73616E-09, -1.66656E-09, 0.0028, -0.0096, 0.87035, 0.65162, 42.92486, 0.11127, 9.24841
2, 1, 24.45519, -1.24071, 66.89099, 66.90092, 0.01, 2.82856E-16, -1.73616E-09, -1.66663E-09, 0.0028, -0.0096, 0.87032, 0.65188, 42.92486, 0.0134, 9.24841
3, 3, 24.5076, -1.07348, 66.80768, 66.81762, 0.01, 2.82856E-16, -1.73616E-09, -1.66663E-09, 0.0028, -0.0096, 0.87093, 0.6517, 42.92486, 0.11127, 9.15054
4, 1, 24.45519, -1.24071, 66.89099, 66.90092, 0.01, 2.82856E-16, -1.73616E-09, -1.66663E-09, 0.0028, -0.0096, 0.87032, 0.65188, 42.92486, 0.0134, 9.24841
5, 0, 24.5076, -1.24297, 66.80925, 66.81918, 0.01, 2.82856E-16, -1.73616E-09, -1.66663E-09, 0.0028, -0.0096, 0.8709, 0.65195, 42.92486, 0.0134, 9.15054
6, 7, 23.0054, -1.1016, 65.79321, 65.80315, -7.21790E-10, 0.01, -6.54633E-10, -0.00984, -8.27135E-10, -0.00179, 0.87096, 0.65144, 41.07912, 0.11127, 9.15054
7, 6, 22.95298, -1.09933, 65.87496, 65.8849, -7.21790E-10, 0.01, -6.54633E-10, -0.00984, -8.27135E-10, -0.00179, 0.87039, 0.65136, 41.07912, 0.11127, 9.24841
8, 5, 24.45519, -1.07122, 66.88943, 66.89936, -7.21790E-10, 0.01, -6.54633E-10, -0.00984, -8.27135E-10, -0.00179, 0.87035, 0.65162, 42.92486, 0.11127, 9.24841
9, 7, 23.0054, -1.1016, 65.79321, 65.80315, -7.21790E-10, 0.01, -6.54633E-10, -0.00984, -8.27135E-10, -0.00179, 0.87096, 0.65144, 41.07912, 0.11127, 9.15054
10, 5, 24.45519, -1.07122, 66.88943, 66.89936, -7.21790E-10, 0.01, -6.54633E-10, -0.00984, -8.27135E-10, -0.00179, 0.87035, 0.65162, 42.92486, 0.11127, 9.24841
11, 4, 24.5076, -1.07348, 66.80768, 66.81762, -7.21790E-10, 0.01, -6.54633E-10, -0.00984, -8.27135E-10, -0.00179, 0.87093, 0.6517, 42.92486, 0.11127, 9.15054
12, 11, 23.0054, -1.27109, 65.79478, 65.80472, -0.01, -2.02405E-16, 1.24235E-09, -1.19255E-09, -0.0028, -0.0096, 0.871, 0.65118, 41.07912, 0.0134, 9.15054
13, 10, 22.95298, -1.26883, 65.87653, 65.88646, -0.01, -2.02405E-16, 1.24235E-09, -1.19255E-09, -0.0028, -0.0096, 0.87042, 0.6511, 41.07912, 0.0134, 9.24841
14, 9, 22.95298, -1.09933, 65.87496, 65.8849, -0.01, -2.02405E-16, 1.24235E-09, -1.19255E-09, -0.0028, -0.0096, 0.87039, 0.65136, 41.07912, 0.11127, 9.24841
15, 11, 23.0054, -1.27109, 65.79478, 65.80472, -0.01, -2.02405E-16, 1.24235E-09, -1.19255E-09, -0.0028, -0.0096, 0.871, 0.65118, 41.07912, 0.0134, 9.15054
16, 9, 22.95298, -1.09933, 65.87496, 65.8849, -0.01, -2.02405E-16, 1.24235E-09, -1.19255E-09, -0.0028, -0.0096, 0.87039, 0.65136, 41.07912, 0.11127, 9.24841
17, 8, 23.0054, -1.1016, 65.79321, 65.80315, -0.01, -2.02405E-16, 1.24235E-09, -1.19255E-09, -0.0028, -0.0096, 0.87096, 0.65144, 41.07912, 0.11127, 9.15054
18, 15, 24.5076, -1.24297, 66.80925, 66.81918, 7.47569E-10, -0.01, -1.06647E-10, 0.00984, 7.54594E-10, -0.00179, 0.87103, 0.65092, 42.92486, 0.0134, 9.15054
19, 14, 24.45519, -1.24071, 66.89099, 66.90092, 7.47569E-10, -0.01, -1.06647E-10, 0.00984, 7.54592E-10, -0.00179, 0.87046, 0.65085, 42.92486, 0.0134, 9.24841
