VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 26.43633, 2.17941, 65.43352, 65.44345, 0.00, 1.62921E-09, -0.01, 0.00, -0.01, -1.62921E-09, 0.43168, 0.76838, 43.83982, 2.01107, 6.93966
1, 2, 26.54314, 2.1814, 65.50565, 65.51559, 0.00, 1.62921E-09, -0.01, 0.00777, -0.0063, -1.02627E-09, 0.43168, 0.76827, 43.97106, 2.01107, 6.93966
2, 1, 26.54314, 1.99707, 65.50735, 65.51729, 0.00, 1.62921E-09, -0.01, 0.00, -0.01, -1.62921E-09, 0.43168, 0.76827, 43.97106, 1.90463, 6.93966
3, 3, 26.43633, 2.17941, 65.43352, 65.44345, 0.00, 1.62921E-09, -0.01, 0.00, -0.01, -1.62921E-09, 0.43168, 0.76838, 43.83982, 2.01107, 6.93966
4, 1, 26.54314, 1.99707, 65.50735, 65.51729, 0.00, 1.62921E-09, -0.01, 0.00, -0.01, -1.62921E-09, 0.43168, 0.76827, 43.97106, 1.90463, 6.93966
5, 0, 26.43633, 1.99507, 65.43522, 65.44516, 0.00, 1.62921E-09, -0.01, 0.00, -0.01, -1.62921E-09, 0.43168, 0.76838, 43.83982, 1.90463, 6.93966
6, 7, 26.38872, 2.18146, 65.50777, 65.5177, 0.00, 0.01, 1.62921E-09, 0.00, 1.62921E-09, -0.01, 0.43168, 0.76854, 43.83982, 2.01107, 7.02856
7, 6, 26.54926, 2.18447, 65.61619, 65.62612, -1.57169E-08, 0.01, 1.62921E-09, 0.00828, 1.39263E-08, -0.00561, 0.43168, 0.76838, 44.03708, 2.01107, 7.02856
8, 5, 26.54314, 2.1814, 65.50565, 65.51559, -9.61462E-09, 0.01, 1.62921E-09, 0.00, 1.62921E-09, -0.01, 0.43168, 0.76843, 43.97106, 2.01107, 6.93966
9, 7, 26.38872, 2.18146, 65.50777, 65.5177, 0.00, 0.01, 1.62921E-09, 0.00, 1.62921E-09, -0.01, 0.43168, 0.76854, 43.83982, 2.01107, 7.02856
10, 5, 26.54314, 2.1814, 65.50565, 65.51559, -9.61462E-09, 0.01, 1.62921E-09, 0.00, 1.62921E-09, -0.01, 0.43168, 0.76843, 43.97106, 2.01107, 6.93966
11, 4, 26.43633, 2.17941, 65.43352, 65.44345, 0.00, 0.01, 1.62921E-09, 0.00, 1.62921E-09, -0.01, 0.43168, 0.76854, 43.83982, 2.01107, 6.93966
12, 11, 26.38872, 1.99713, 65.50947, 65.51941, 0.00, -1.62921E-09, 0.01, 0.00, 0.01, 1.62921E-09, 0.43168, 0.76899, 43.83982, 1.90463, 7.02856
13, 10, 26.54926, 2.00013, 65.61789, 65.62782, 0.00, -1.62921E-09, 0.01, 0.0088, 0.00475, 7.73659E-10, 0.43168, 0.76882, 44.03708, 1.90463, 7.02856
14, 9, 26.54926, 2.18447, 65.61619, 65.62612, 0.00, -1.62921E-09, 0.01, 0.00, 0.01, 1.62921E-09, 0.43168, 0.76882, 44.03708, 2.01107, 7.02856
15, 11, 26.38872, 1.99713, 65.50947, 65.51941, 0.00, -1.62921E-09, 0.01, 0.00, 0.01, 1.62921E-09, 0.43168, 0.76899, 43.83982, 1.90463, 7.02856
16, 9, 26.54926, 2.18447, 65.61619, 65.62612, 0.00, -1.62921E-09, 0.01, 0.00, 0.01, 1.62921E-09, 0.43168, 0.76882, 44.03708, 2.01107, 7.02856
