VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 2, 28.10054, -0.92317, 70.67702, 70.68695, 0.00497, 0.00373, 0.00783, -0.00859, 0.00088, 0.00504, 0.82838, 0.2326, 48.13295, 0.13613, 10.35643
1, 1, 28.16924, -1.05285, 70.68724, 70.69717, 0.00314, -0.00721, 0.00618, -0.00915, -0.00055, 0.004, 0.82838, 0.23268, 48.19682, 0.06111, 10.3252
2, 0, 28.47347, -0.90209, 70.86147, 70.8714, -0.00121, 0.00848, 0.00515, -0.00982, -0.00027, -0.00186, 0.82838, 0.23262, 48.5542, 0.14535, 10.30024
3, 5, 28.20186, -0.37323, 70.55461, 70.56454, 0.009, -0.00091, 0.00427, -0.00397, -0.00576, 0.00714, 0.82837, 0.23245, 48.15535, 0.45556, 10.20127
4, 4, 28.14688, 0.08656, 70.63047, 70.6404, 0.00558, 0.00135, 0.00819, -0.00736, -0.00375, 0.00564, 0.82837, 0.23228, 48.15223, 0.71977, 10.2992
5, 3, 27.9749, -0.72708, 70.62891, 70.63885, 0.00462, 0.00396, 0.00794, -0.0058, -0.00542, 0.00608, 0.82837, 0.23247, 47.99979, 0.2501, 10.38865
6, 8, 28.55495, -1.06114, 70.24823, 70.25816, -0.00012, -0.01, -0.00022, 0.00217, 0.00019, -0.00976, 0.82835, 0.23196, 48.28621, 0.06335, 9.74082
7, 7, 28.53433, -1.13568, 70.58454, 70.59447, 0.00167, -0.00983, -0.00076, 0.00348, 0.0013, -0.00928, 0.82834, 0.23165, 48.45299, 0.01494, 10.0328
8, 6, 28.28939, -1.10596, 70.52151, 70.53144, -0.00014, -0.01, -0.00011, 0.00209, 0.00008, -0.00978, 0.82835, 0.23195, 48.20848, 0.0331, 10.11858
9, 11, 27.89813, -0.59113, 70.5549, 70.56483, 0.00288, 0.00339, 0.00896, 0.00431, 0.0079, -0.00437, 0.82837, 0.23234, 47.89397, 0.32977, 10.37119
10, 10, 27.9749, -0.72708, 70.62891, 70.63885, 0.00462, 0.00396, 0.00794, 0.00406, 0.00702, -0.00586, 0.82837, 0.23247, 47.99979, 0.2501, 10.38865
11, 9, 28.02182, 0.08754, 70.55771, 70.56764, 0.00067, 0.00041, 0.00997, 0.00566, 0.00821, -0.00072, 0.82837, 0.23229, 48.00502, 0.7215, 10.30899
12, 14, 27.89813, -0.59113, 70.5549, 70.56483, 0.00288, 0.00339, 0.00896, -0.00956, 0.00057, 0.00286, 0.82837, 0.23234, 47.89397, 0.32977, 10.37119
13, 13, 27.79983, -0.88022, 70.68388, 70.69381, 0.00297, 0.00791, 0.00535, -0.00928, 0.00108, 0.00355, 0.82838, 0.23249, 47.87911, 0.16082, 10.53215
14, 12, 27.84715, -0.96179, 70.71704, 70.72697, 0.00719, 0.00425, 0.0055, -0.00693, 0.00372, 0.00618, 0.82838, 0.23252, 47.93749, 0.1132, 10.53252
15, 17, 27.77336, -1.05094, 70.80402, 70.81395, 0.00748, -0.00605, 0.00272, -0.00077, 0.00327, 0.00942, 0.82837, 0.23244, 47.92158, 0.06034, 10.64612
16, 16, 27.84029, -1.05947, 70.59809, 70.60802, -0.00273, -0.00962, 0.00025, 0.00519, -0.00125, 0.00846, 0.82837, 0.23229, 47.86574, 0.05872, 10.43629
17, 15, 27.84073, -1.08108, 70.72707, 70.737, 0.00363, -0.00826, 0.00431, 0.00297, 0.00541, 0.00787, 0.82836, 0.23224, 47.9369, 0.04418, 10.5436
18, 20, 27.84715, -0.96179, 70.71704, 70.72697, 0.00719, 0.00425, 0.0055, 0.00451, 0.00317, -0.00834, 0.82838, 0.23252, 47.93749, 0.1132, 10.53252
19, 19, 28.16924, -1.05285, 70.68724, 70.69717, 0.00314, -0.00721, 0.00618, 0.00941, 0.00147, -0.00306, 0.82838, 0.23268, 48.19682, 0.06111, 10.3252
20, 18, 28.10054, -0.92317, 70.67702, 70.68695, 0.00497, 0.00373, 0.00783, 0.00642, 0.0045, -0.00621, 0.82838, 0.2326, 48.13295, 0.13613, 10.35643
21, 23, 28.28517, 0.03854, 70.59203, 70.60195, 0.00917, 0.00116, 0.00381, 0.00396, -0.00177, -0.00901, 0.82837, 0.23228, 48.24943, 0.69266, 10.18869
22, 22, 28.08844, 0.26326, 70.59846, 70.60838, 0.00385, 0.0031, 0.00869, 0.00893, 0.00113, -0.00436, 0.82836, 0.23209, 48.08543, 0.82229, 10.30679
23, 21, 28.14688, 0.08656, 70.63047, 70.6404, 0.00558, 0.00135, 0.00819, 0.00829, -0.00121, -0.00545, 0.82837, 0.23228, 48.15223, 0.71977, 10.2992
24, 26, 28.38206, 0.1101, 70.46785, 70.47778, 0.00998, 0.00004, 0.00069, -0.00038, -0.00802, 0.00596, 0.82837, 0.23249, 48.26463, 0.73596, 10.03085
25, 25, 28.08844, 0.26326, 70.59846, 70.60838, 0.00385, 0.0031, 0.00869, 0.00473, -0.00875, 0.00102, 0.82838, 0.23272, 48.08543, 0.82229, 10.30679
26, 24, 28.28517, 0.03854, 70.59203, 70.60195, 0.00917, 0.00116, 0.00381, 0.00052, -0.00983, 0.00176, 0.82838, 0.23259, 48.24943, 0.69266, 10.18869
27, 29, 28.57599, -0.73006, 70.14331, 70.15324, 0.00951, 0.00304, -0.00058, 0.00256, -0.00878, -0.00403, 0.82821, 0.22855, 48.24826, 0.25615, 9.64388
