VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 31.50943, -0.61522, 71.53961, 71.54955, 0.01, 3.39782E-09, -7.15646E-08, 3.39786E-09, -0.01, 5.16645E-09, 0.87859, 0.31727, 51.53146, 0.3001, 9.15597
1, 2, 30.35441, -0.5653, 73.341, 73.35094, 0.01, 3.39782E-09, -7.15646E-08, 7.16436E-08, -0.00041, 0.00999, 0.87859, 0.31727, 51.53148, 0.3001, 11.31265
2, 1, 30.35441, -0.71719, 73.34241, 73.35234, 0.01, 3.39782E-09, -7.15646E-08, 3.39786E-09, -0.01, 5.16645E-09, 0.87859, 0.31727, 51.53148, 0.21239, 11.31265
3, 3, 31.50943, -0.61522, 71.53961, 71.54955, 0.01, 3.39782E-09, -7.15646E-08, 3.39786E-09, -0.01, 5.16645E-09, 0.87859, 0.31727, 51.53146, 0.3001, 9.15597
4, 1, 30.35441, -0.71719, 73.34241, 73.35234, 0.01, 3.39782E-09, -7.15646E-08, 3.39786E-09, -0.01, 5.16645E-09, 0.87859, 0.31727, 51.53148, 0.21239, 11.31265
5, 0, 31.50943, -0.76712, 71.54102, 71.55095, 0.01, 3.39782E-09, -7.15646E-08, 3.39786E-09, -0.01, 5.16645E-09, 0.87859, 0.31727, 51.53146, 0.21239, 9.15597
6, 7, 30.60098, -0.63223, 70.92609, 70.93602, -1.05042E-10, 0.01, 8.47015E-10, 0.01, 1.05022E-10, 2.31219E-07, 0.87859, 0.31727, 50.41526, 0.3001, 9.15594
7, 6, 29.44597, -0.5823, 72.72749, 72.73742, 0.00, 0.01, 3.85539E-10, 0.0046, -3.42398E-10, 0.00888, 0.87859, 0.31727, 50.41527, 0.3001, 11.31263
8, 5, 30.35441, -0.5653, 73.341, 73.35094, 0.00, 0.01, 3.85539E-10, 0.01, -8.92926E-15, 2.31219E-07, 0.87859, 0.31727, 51.53148, 0.3001, 11.31265
9, 7, 30.60098, -0.63223, 70.92609, 70.93602, -1.05042E-10, 0.01, 8.47015E-10, 0.01, 1.05022E-10, 2.31219E-07, 0.87859, 0.31727, 50.41526, 0.3001, 9.15594
10, 5, 30.35441, -0.5653, 73.341, 73.35094, 0.00, 0.01, 3.85539E-10, 0.01, -8.92926E-15, 2.31219E-07, 0.87859, 0.31727, 51.53148, 0.3001, 11.31265
11, 4, 31.50943, -0.61522, 71.53961, 71.54955, 1.19695E-09, 0.01, 6.21991E-10, 0.01, -1.19696E-09, 2.31219E-07, 0.87859, 0.31727, 51.53146, 0.3001, 9.15597
12, 11, 30.60098, -0.78412, 70.92749, 70.93742, -0.01, 1.24173E-14, 7.13408E-08, -2.44408E-14, 0.01, -5.16648E-09, 0.87859, 0.31727, 50.41526, 0.21239, 9.15594
13, 10, 29.44597, -0.7342, 72.7289, 72.73882, -0.01, 1.24173E-14, 7.13408E-08, 7.12819E-08, 0.00041, 0.00999, 0.87859, 0.31727, 50.41527, 0.21239, 11.31263
14, 9, 29.44597, -0.5823, 72.72749, 72.73742, -0.01, 1.24173E-14, 7.13408E-08, -2.44408E-14, 0.01, -5.16648E-09, 0.87859, 0.31727, 50.41527, 0.3001, 11.31263
15, 11, 30.60098, -0.78412, 70.92749, 70.93742, -0.01, 1.24173E-14, 7.13408E-08, -2.44408E-14, 0.01, -5.16648E-09, 0.87859, 0.31727, 50.41526, 0.21239, 9.15594
16, 9, 29.44597, -0.5823, 72.72749, 72.73742, -0.01, 1.24173E-14, 7.13408E-08, -2.44408E-14, 0.01, -5.16648E-09, 0.87859, 0.31727, 50.41527, 0.3001, 11.31263
17, 8, 30.60098, -0.63223, 70.92609, 70.93602, -0.01, 1.24173E-14, 7.13408E-08, -2.44408E-14, 0.01, -5.16648E-09, 0.87859, 0.31727, 50.41526, 0.3001, 9.15594
18, 15, 31.50943, -0.76712, 71.54102, 71.55095, 1.02152E-09, -0.01, -6.21991E-10, -0.01, -1.02151E-09, -2.31219E-07, 0.87859, 0.31727, 51.53146, 0.21239, 9.15597
19, 14, 30.35441, -0.71719, 73.34241, 73.35234, 4.95199E-10, -0.01, -3.85539E-10, -0.0046, -5.70013E-10, 0.00888, 0.87859, 0.31727, 51.53148, 0.21239, 11.31265
20, 13, 29.44597, -0.7342, 72.7289, 72.73882, 4.95199E-10, -0.01, -3.85539E-10, -0.01, -4.95190E-10, -2.31219E-07, 0.87859, 0.31727, 50.41527, 0.21239, 11.31263
21, 15, 31.50943, -0.76712, 71.54102, 71.55095, 1.02152E-09, -0.01, -6.21991E-10, -0.01, -1.02151E-09, -2.31219E-07, 0.87859, 0.31727, 51.53146, 0.21239, 9.15597
22, 13, 29.44597, -0.7342, 72.7289, 72.73882, 4.95199E-10, -0.01, -3.85539E-10, -0.01, -4.95190E-10, -2.31219E-07, 0.87859, 0.31727, 50.41527, 0.21239, 11.31263
23, 12, 30.60098, -0.78412, 70.92749, 70.93742, 3.70462E-10, -0.01, -8.47015E-10, -0.01, -3.70442E-10, -2.31219E-07, 0.87859, 0.31727, 50.41526, 0.21239, 9.15594
24, 19, 30.35441, -0.5653, 73.341, 73.35094, -2.30685E-07, -1.62921E-09, 0.01, 6.79569E-09, -0.01, -1.62905E-09, 0.87859, 0.31727, 51.53148, 0.3001, 11.31265
25, 18, 29.44597, -0.5823, 72.72749, 72.73742, -2.30685E-07, -1.62921E-09, 0.01, -0.00997, -0.00078, -2.30104E-07, 0.87859, 0.31727, 50.41527, 0.3001, 11.31263
26, 17, 29.44597, -0.7342, 72.7289, 72.73882, -2.30685E-07, -1.62921E-09, 0.01, 6.79569E-09, -0.01, -1.62905E-09, 0.87859, 0.31727, 50.41527, 0.21239, 11.31263
27, 19, 30.35441, -0.5653, 73.341, 73.35094, -2.30685E-07, -1.62921E-09, 0.01, 6.79569E-09, -0.01, -1.62905E-09, 0.87859, 0.31727, 51.53148, 0.3001, 11.31265
28, 17, 29.44597, -0.7342, 72.7289, 72.73882, -2.30685E-07, -1.62921E-09, 0.01, 6.79569E-09, -0.01, -1.62905E-09, 0.87859, 0.31727, 50.41527, 0.21239, 11.31263
