VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 3.64821, -1.20079, 53.50378, 53.51372, -0.00128, 0.00992, 0.00021, -0.00461, -0.00078, 0.00884, 0.51932, 0.98544, 17.72681, 0.25063, 9.80643
1, 2, 3.55719, -1.21391, 53.55471, 53.56466, -0.00126, 0.00992, 0.00021, -0.0046, -0.00077, 0.00885, 0.52059, 0.98543, 17.6767, 0.24224, 9.90022
2, 1, 3.5988, -1.22044, 53.66705, 53.67699, 0.00201, 0.0096, 0.00193, -0.00461, -0.00081, 0.00884, 0.5206, 0.98607, 17.77409, 0.23667, 9.97053
3, 3, 3.64821, -1.20079, 53.50378, 53.51372, -0.00128, 0.00992, 0.00021, -0.00461, -0.00078, 0.00884, 0.51932, 0.98544, 17.72681, 0.25063, 9.80643
4, 1, 3.5988, -1.22044, 53.66705, 53.67699, 0.00201, 0.0096, 0.00193, -0.00461, -0.00081, 0.00884, 0.5206, 0.98607, 17.77409, 0.23667, 9.97053
5, 0, 3.71778, -1.20328, 53.60043, 53.61037, 0.00204, 0.0096, 0.00195, -0.0046, -0.00082, 0.00884, 0.51932, 0.98608, 17.83958, 0.24765, 9.84788
6, 6, 3.78635, -1.49216, 53.83889, 53.84883, 0.00521, 0.0078, 0.00348, 0.00463, 0.00084, -0.00883, 0.51994, 0.98288, 18.02796, 0.07706, 10.00614
7, 5, 3.76008, -1.30723, 53.70125, 53.7112, 0.00453, 0.00834, 0.00316, 0.00462, 0.00084, -0.00883, 0.52252, 0.98797, 17.93073, 0.18602, 9.90743
8, 4, 3.66913, -1.32036, 53.75223, 53.76218, 0.00451, 0.00835, 0.00315, 0.00462, 0.00084, -0.00883, 0.51742, 0.988, 17.8807, 0.17763, 10.00122
9, 9, 3.53527, -1.2913, 53.39087, 53.40081, -0.00289, 0.00955, -0.00069, -0.00462, -0.00076, 0.00883, 0.51994, 0.98288, 17.56746, 0.20019, 9.77514
10, 8, 3.55719, -1.21391, 53.55471, 53.56466, -0.00126, 0.00992, 0.00021, -0.0046, -0.00077, 0.00885, 0.52252, 0.98797, 17.6767, 0.24224, 9.90022
11, 7, 3.64821, -1.20079, 53.50378, 53.51372, -0.00128, 0.00992, 0.00021, -0.00461, -0.00078, 0.00884, 0.51742, 0.988, 17.72681, 0.25063, 9.80643
12, 13, 3.71778, -1.20328, 53.60043, 53.61037, 0.00204, 0.0096, 0.00195, -0.0046, -0.00082, 0.00884, 0.51932, 0.98608, 17.83958, 0.24765, 9.84788
13, 12, 3.5988, -1.22044, 53.66705, 53.67699, 0.00201, 0.0096, 0.00193, -0.00461, -0.00081, 0.00884, 0.5206, 0.98607, 17.77409, 0.23667, 9.97053
14, 11, 3.66913, -1.32036, 53.75223, 53.76218, 0.00451, 0.00835, 0.00315, -0.00459, -0.00086, 0.00884, 0.5206, 0.98671, 17.8807, 0.17763, 10.00122
15, 13, 3.71778, -1.20328, 53.60043, 53.61037, 0.00204, 0.0096, 0.00195, -0.0046, -0.00082, 0.00884, 0.51932, 0.98608, 17.83958, 0.24765, 9.84788
16, 11, 3.66913, -1.32036, 53.75223, 53.76218, 0.00451, 0.00835, 0.00315, -0.00459, -0.00086, 0.00884, 0.5206, 0.98671, 17.8807, 0.17763, 10.00122
17, 10, 3.76008, -1.30723, 53.70125, 53.7112, 0.00453, 0.00834, 0.00316, -0.00459, -0.00086, 0.00884, 0.51933, 0.98672, 17.93073, 0.18602, 9.90743
18, 17, 3.59969, -1.26239, 53.66328, 53.67323, -0.00201, -0.0096, -0.00193, -0.00461, -0.00081, 0.00884, 0.5206, 0.98607, 17.77256, 0.21252, 9.96655
19, 16, 3.55959, -1.25598, 53.55379, 53.56374, 0.00126, -0.00992, -0.00021, -0.0046, -0.00077, 0.00884, 0.52059, 0.98543, 17.67804, 0.21797, 9.89778
20, 15, 3.65064, -1.24286, 53.50288, 53.51282, 0.00127, -0.00992, -0.00021, -0.00462, -0.00078, 0.00884, 0.51932, 0.98544, 17.72819, 0.22636, 9.80398
21, 17, 3.59969, -1.26239, 53.66328, 53.67323, -0.00201, -0.0096, -0.00193, -0.00461, -0.00081, 0.00884, 0.5206, 0.98607, 17.77256, 0.21252, 9.96655
22, 15, 3.65064, -1.24286, 53.50288, 53.51282, 0.00127, -0.00992, -0.00021, -0.00462, -0.00078, 0.00884, 0.51932, 0.98544, 17.72819, 0.22636, 9.80398
23, 14, 3.71869, -1.24523, 53.59663, 53.60657, -0.00204, -0.0096, -0.00195, -0.0046, -0.00081, 0.00884, 0.51932, 0.98608, 17.83806, 0.22349, 9.84387
24, 20, 3.75971, -1.34678, 53.6953, 53.70525, -0.00453, -0.00834, -0.00316, 0.00463, 0.00084, -0.00883, 0.52252, 0.98797, 17.92694, 0.16329, 9.90237
25, 19, 3.78556, -1.53078, 53.83229, 53.84224, -0.00521, -0.0078, -0.00348, 0.00463, 0.00084, -0.00882, 0.51994, 0.98288, 18.02347, 0.05488, 10.00078
26, 18, 3.66873, -1.3599, 53.74625, 53.75619, -0.00451, -0.00835, -0.00316, 0.00463, 0.00084, -0.00883, 0.51742, 0.988, 17.87687, 0.1549, 9.99615
27, 23, 3.55959, -1.25598, 53.55379, 53.56374, 0.00126, -0.00992, -0.00021, -0.0046, -0.00077, 0.00884, 0.52252, 0.98797, 17.67804, 0.21797, 9.89778
28, 22, 3.53827, -1.33265, 53.39114, 53.40108, 0.00289, -0.00955, 0.00069, -0.00463, -0.00076, 0.00883, 0.51994, 0.98288, 17.56997, 0.17631, 9.77336
29, 21, 3.65064, -1.24286, 53.50288, 53.51282, 0.00127, -0.00992, -0.00021, -0.00462, -0.00078, 0.00884, 0.51742, 0.988, 17.72819, 0.22636, 9.80398
30, 27, 3.66873, -1.3599, 53.74625, 53.75619, -0.00451, -0.00835, -0.00316, -0.0046, -0.00086, 0.00884, 0.5206, 0.98671, 17.87687, 0.1549, 9.99615
31, 26, 3.59969, -1.26239, 53.66328, 53.67323, -0.00201, -0.0096, -0.00193, -0.00461, -0.00081, 0.00884, 0.5206, 0.98607, 17.77256, 0.21252, 9.96655
32, 25, 3.71869, -1.24523, 53.59663, 53.60657, -0.00204, -0.0096, -0.00195, -0.0046, -0.00081, 0.00884, 0.51932, 0.98608, 17.83806, 0.22349, 9.84387
33, 27, 3.66873, -1.3599, 53.74625, 53.75619, -0.00451, -0.00835, -0.00316, -0.0046, -0.00086, 0.00884, 0.5206, 0.98671, 17.87687, 0.1549, 9.99615
34, 25, 3.71869, -1.24523, 53.59663, 53.60657, -0.00204, -0.0096, -0.00195, -0.0046, -0.00081, 0.00884, 0.51932, 0.98608, 17.83806, 0.22349, 9.84387
35, 24, 3.75971, -1.34678, 53.6953, 53.70525, -0.00453, -0.00834, -0.00316, -0.0046, -0.00086, 0.00884, 0.51933, 0.98672, 17.92694, 0.16329, 9.90237
36, 31, 3.5988, -1.22044, 53.66705, 53.67699, -0.00483, -0.00121, 0.00867, -0.00058, -0.00984, -0.0017, 0.5206, 0.98607, 17.77409, 0.23667, 9.97053
37, 30, 3.55719, -1.21391, 53.55471, 53.56466, -0.00655, -0.00111, 0.00748, -0.00734, -0.00144, -0.00664, 0.52059, 0.98543, 17.6767, 0.24224, 9.90022
38, 29, 3.55959, -1.25598, 53.55379, 53.56374, -0.00667, -0.00112, 0.00737, -0.00009, -0.00987, -0.00158, 0.52059, 0.98543, 17.67804, 0.21797, 9.89778
39, 31, 3.5988, -1.22044, 53.66705, 53.67699, -0.00483, -0.00121, 0.00867, -0.00058, -0.00984, -0.0017, 0.5206, 0.98607, 17.77409, 0.23667, 9.97053
40, 29, 3.55959, -1.25598, 53.55379, 53.56374, -0.00667, -0.00112, 0.00737, -0.00009, -0.00987, -0.00158, 0.52059, 0.98543, 17.67804, 0.21797, 9.89778
41, 28, 3.59969, -1.26239, 53.66328, 53.67323, -0.0046, -0.00125, 0.00879, -0.00092, -0.00978, -0.00187, 0.5206, 0.98607, 17.77256, 0.21252, 9.96655
