VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 2, 4.65372, -3.66521, 39.65662, 39.66658, 0.00219, 0.0097, -0.0011, 0.00358, 0.00025, 0.00933, 0.79691, 0.67398, 10.9657, -0.95048, -2.34584
1, 1, 4.41063, -3.55643, 39.63153, 39.64149, 0.00218, 0.00971, -0.00103, 0.00357, 0.00019, 0.00934, 0.79691, 0.67398, 10.74403, -0.88728, -2.22881
2, 0, 4.62124, -3.65426, 39.80875, 39.81871, 0.00218, 0.0097, -0.00109, 0.00358, 0.00024, 0.00933, 0.79691, 0.67398, 11.02152, -0.94659, -2.20037
3, 5, 4.58372, -3.64303, 39.9624, 39.97236, 0.0021, 0.00974, -0.00086, 0.00304, 0.00019, 0.00953, 0.79691, 0.67398, 11.07385, -0.94257, -2.05077
4, 4, 4.41063, -3.55643, 39.63153, 39.64149, 0.0021, 0.00974, -0.00086, 0.00304, 0.00019, 0.00953, 0.79691, 0.67398, 10.74403, -0.88728, -2.22881
5, 3, 4.54211, -3.63364, 40.11454, 40.1245, 0.0021, 0.00974, -0.00086, 0.00304, 0.00019, 0.00953, 0.79691, 0.67398, 11.12185, -0.93958, -1.90015
6, 8, 4.37059, -3.51116, 38.845, 38.85496, 0.00214, 0.00972, -0.00098, 0.00592, -0.00049, 0.00805, 0.79691, 0.67398, 10.27763, -0.84856, -2.86282
7, 7, 4.22217, -3.4616, 39.22021, 39.23017, 0.00214, 0.00972, -0.00098, 0.00592, -0.00049, 0.00805, 0.79691, 0.67398, 10.35685, -0.82595, -2.4653
8, 6, 4.41063, -3.55643, 39.63153, 39.64149, 0.00214, 0.00972, -0.00098, 0.00539, -0.00037, 0.00842, 0.79691, 0.67398, 10.74403, -0.88728, -2.22881
9, 11, 4.70417, -3.66629, 39.34248, 39.35244, 0.0022, 0.00971, -0.0009, 0.00425, -0.00012, 0.00905, 0.79691, 0.67398, 10.83629, -0.94608, -2.6367
10, 10, 4.41063, -3.55643, 39.63153, 39.64149, 0.0022, 0.00971, -0.0009, 0.00539, -0.00037, 0.00842, 0.79691, 0.67398, 10.74403, -0.88728, -2.22881
11, 9, 4.68176, -3.66524, 39.50199, 39.51195, 0.0022, 0.00971, -0.0009, 0.00425, -0.00012, 0.00905, 0.79691, 0.67398, 10.90475, -0.94802, -2.49081
12, 14, 4.10913, -3.43685, 39.72425, 39.73421, 0.00198, 0.00977, -0.00078, 0.00116, 0.00056, 0.00992, 0.79691, 0.67398, 10.53709, -0.81973, -1.98033
13, 13, 3.85762, -3.35592, 39.9442, 39.95416, 0.00187, 0.0098, -0.00074, 0.00115, 0.00053, 0.00992, 0.79691, 0.67398, 10.44274, -0.77653, -1.65409
14, 12, 3.78262, -3.35423, 40.38817, 40.39813, 0.00198, 0.00978, -0.00072, 0.00114, 0.00049, 0.00992, 0.79691, 0.67398, 10.62246, -0.78266, -1.24093
15, 17, 3.33255, -3.18212, 40.07528, 40.08524, 0.0018, 0.00981, -0.00066, -0.00301, -0.00009, -0.00953, 0.79691, 0.67398, 10.06545, -0.6783, -1.24701
16, 16, 3.66176, -3.27659, 39.74036, 39.75032, 0.0018, 0.00981, -0.00067, -0.00295, -0.00012, -0.00955, 0.79691, 0.67398, 10.16317, -0.72748, -1.71323
17, 15, 3.43299, -3.19783, 39.71124, 39.7212, 0.00177, 0.00981, -0.00073, -0.00303, -0.00016, -0.00953, 0.79691, 0.67398, 9.95141, -0.68154, -1.60787
18, 20, 3.59625, -3.27209, 40.13986, 40.14982, 0.00175, 0.00982, -0.00067, -0.00923, 0.00187, 0.00337, 0.79691, 0.67398, 10.3266, -0.73127, -1.34254
19, 19, 3.66176, -3.27659, 39.74036, 39.75032, 0.00175, 0.00982, -0.00067, -0.00909, 0.00189, 0.00371, 0.79691, 0.67398, 10.16317, -0.72748, -1.71323
20, 18, 3.33255, -3.18212, 40.07528, 40.08524, 0.00175, 0.00982, -0.00067, -0.00923, 0.00187, 0.00337, 0.79691, 0.67398, 10.06545, -0.6783, -1.24701
21, 23, 3.43299, -3.19783, 39.71124, 39.7212, 0.0013, 0.00991, -0.00024, -0.00957, 0.00132, 0.00258, 0.79691, 0.67398, 9.95141, -0.68154, -1.60787
22, 22, 3.09032, -3.09029, 39.18724, 39.1972, 0.0013, 0.00991, -0.00024, -0.00957, 0.00132, 0.00258, 0.79691, 0.67398, 9.37015, -0.61108, -1.85137
23, 21, 2.64311, -3.00851, 39.44154, 39.4515, 0.0013, 0.00991, -0.00024, -0.00957, 0.00132, 0.00258, 0.79691, 0.67398, 9.12689, -0.56794, -1.38602
24, 26, 3.09032, -3.09029, 39.18724, 39.1972, 0.00092, 0.00995, -0.00043, -0.00937, 0.00101, 0.00335, 0.79691, 0.67398, 9.37015, -0.61108, -1.85137
25, 25, 3.14988, -3.09471, 38.80847, 38.81843, 0.00096, 0.00995, -0.00033, -0.00937, 0.00101, 0.00335, 0.79691, 0.67398, 9.21301, -0.60757, -2.20138
26, 24, 2.64755, -3.01102, 39.07584, 39.0858, 0.00095, 0.00995, -0.00034, -0.00937, 0.00101, 0.00335, 0.79691, 0.67398, 8.92968, -0.56354, -1.69399
27, 29, 4.71088, -3.68495, 38.69989, 38.70985, 0.00061, -0.00997, -0.00056, 0.00421, -0.00025, 0.00907, 0.79691, 0.67398, 10.48877, -0.94656, -3.17736
28, 28, 4.74517, -3.6783, 39.02456, 39.03452, 0.00061, -0.00997, -0.00056, 0.00421, -0.00025, 0.00907, 0.79691, 0.67398, 10.69664, -0.94792, -2.92547
29, 27, 4.68771, -3.68753, 38.86008, 38.87004, 0.00061, -0.00997, -0.00056, 0.00421, -0.00025, 0.00907, 0.79691, 0.67398, 10.55693, -0.95062, -3.0305
30, 32, 4.70299, -3.71347, 38.05422, 38.06419, 0.00038, -0.00999, -0.00029, 0.00564, -0.00003, 0.00825, 0.79691, 0.67398, 10.12698, -0.9527, -3.71243
31, 31, 4.77876, -3.70002, 38.37817, 38.38813, 0.00038, -0.00999, -0.00029, 0.00564, -0.00003, 0.00825, 0.79691, 0.67398, 10.37006, -0.95012, -3.48449
32, 30, 4.70581, -3.7097, 38.21731, 38.22727, 0.00038, -0.00999, -0.00029, 0.00564, -0.00003, 0.00825, 0.79691, 0.67398, 10.21905, -0.95313, -3.57777
33, 35, 2.92694, -3.05205, 38.70937, 38.71933, 0.00074, 0.00995, -0.00064, -0.00947, 0.0005, -0.00318, 0.79691, 0.67398, 8.96761, -0.58136, -2.15804
34, 34, 3.15952, -3.10554, 38.4397, 38.44967, 0.00074, 0.00995, -0.00063, -0.00947, 0.0005, -0.00318, 0.79691, 0.67398, 9.01853, -0.60792, -2.51492
35, 33, 2.69506, -3.02714, 38.40524, 38.4152, 0.00075, 0.00995, -0.00059, -0.00947, 0.00052, -0.00318, 0.79691, 0.67398, 8.60175, -0.56211, -2.28106
36, 38, 3.15952, -3.10554, 38.4397, 38.44967, 0.00074, 0.00995, -0.00063, -0.00868, 0.00095, 0.00487, 0.79691, 0.67398, 9.01853, -0.60792, -2.51492
37, 37, 3.12227, -3.11569, 37.96918, 37.97914, 0.00071, 0.00995, -0.00065, -0.00873, 0.00093, 0.00479, 0.79691, 0.67398, 8.72793, -0.60626, -2.88699
38, 36, 2.69506, -3.02714, 38.40524, 38.4152, 0.00075, 0.00995, -0.00059, -0.00868, 0.00094, 0.00487, 0.79691, 0.67398, 8.60175, -0.56211, -2.28106
39, 41, 4.58914, -3.75995, 37.07864, 37.08861, 0.00032, -0.00999, 0.00002, 0.00698, 0.00024, 0.00716, 0.79691, 0.67398, 9.49292, -0.96392, -4.4634
40, 40, 4.62347, -3.76907, 36.9054, 36.91536, 0.00032, -0.00999, 0.00002, 0.00698, 0.00024, 0.00716, 0.79691, 0.67398, 9.42709, -0.96642, -4.62755
41, 39, 4.6196, -3.74853, 37.24088, 37.25084, 0.00032, -0.00999, 0.00002, 0.00698, 0.00024, 0.00716, 0.79691, 0.67398, 9.60826, -0.95992, -4.345
42, 44, 4.64485, -3.73985, 37.40386, 37.41382, 0.00042, -0.00998, -0.00039, 0.0063, -0.00004, 0.00776, 0.79691, 0.67398, 9.71954, -0.95752, -4.22304
43, 43, 4.74945, -3.72568, 37.72183, 37.7318, 0.00042, -0.00998, -0.00039, 0.0063, -0.00004, 0.00776, 0.79691, 0.67398, 9.98406, -0.95443, -4.01636
44, 42, 4.66085, -3.73639, 37.56787, 37.57783, 0.00042, -0.00998, -0.00039, 0.0063, -0.00004, 0.00776, 0.79691, 0.67398, 9.82341, -0.95815, -4.09506
45, 47, 3.95333, -3.47089, 36.98837, 36.99834, 0.00153, 0.00975, -0.0016, 0.00628, 0.00029, 0.00778, 0.79691, 0.67398, 8.89962, -0.79561, -4.17785
46, 46, 3.81813, -3.39469, 37.18654, 37.1965, 0.00154, 0.00975, -0.0016, 0.00628, 0.00029, 0.00778, 0.79691, 0.67398, 8.893, -0.75479, -3.93546
47, 45, 4.00773, -3.42642, 37.56081, 37.57078, 0.00153, 0.00975, -0.0016, 0.00628, 0.00029, 0.00778, 0.79691, 0.67398, 9.26112, -0.7791, -3.73006
48, 50, 3.77234, -3.33006, 37.65113, 37.66109, 0.00133, 0.00981, -0.0014, -0.00962, 0.00093, -0.00256, 0.79691, 0.67398, 9.10942, -0.72491, -3.52107
49, 49, 3.62926, -3.33856, 37.10973, 37.11969, 0.00133, 0.00981, -0.0014, -0.00962, 0.00094, -0.00257, 0.79691, 0.67398, 8.68913, -0.72116, -3.89262
50, 48, 3.47719, -3.25169, 37.43623, 37.44619, 0.00133, 0.00981, -0.00141, -0.00991, 0.0013, -0.00033, 0.79691, 0.67398, 8.73863, -0.67624, -3.53344
51, 53, 3.56897, -3.37556, 36.69809, 36.70805, 0.00112, 0.00983, -0.00145, 0.00667, 0.00033, 0.00744, 0.79691, 0.67398, 8.411, -0.73593, -4.20272
52, 52, 3.37967, -3.27587, 36.97227, 36.98223, 0.00116, 0.00983, -0.00142, 0.00667, 0.00029, 0.00745, 0.79691, 0.67398, 8.39989, -0.68277, -3.86613
53, 51, 3.62926, -3.33856, 37.10973, 37.11969, 0.00117, 0.00982, -0.0015, 0.00667, 0.00034, 0.00744, 0.79691, 0.67398, 8.68913, -0.72116, -3.89262
