VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 49.67848, 6.96716, 68.75121, 68.76114, 0.00811, 0.00585, 0.00003, 0.00002, 0.00001, -0.01, 0.86302, 0.28253, 65.61588, 4.72184, -3.36569
1, 2, 50.77004, 3.4609, 69.52079, 69.53072, 0.00859, 0.00513, -0.00002, 0.00512, -0.00858, -0.00037, 0.86303, 0.28257, 66.95698, 2.68545, -3.36581
2, 1, 50.72675, 3.34116, 69.38411, 69.39404, 0.00464, 0.00279, -0.0084, -0.00697, -0.00471, -0.00541, 0.86303, 0.28257, 66.84412, 2.61852, -3.45648
3, 3, 49.67848, 6.96716, 68.75121, 68.76114, 0.00811, 0.00585, 0.00003, 0.00002, 0.00001, -0.01, 0.86302, 0.28253, 65.61588, 4.72184, -3.36569
4, 1, 50.72675, 3.34116, 69.38411, 69.39404, 0.00464, 0.00279, -0.0084, -0.00697, -0.00471, -0.00541, 0.86303, 0.28257, 66.84412, 2.61852, -3.45648
5, 0, 49.64043, 6.8304, 68.61807, 68.62801, 0.00461, 0.00333, -0.00823, -0.0065, -0.00504, -0.00568, 0.86302, 0.28253, 65.50938, 4.64503, -3.45648
6, 7, 30.76472, 6.61316, 55.97841, 55.98835, -0.00811, 0.00585, 0.00003, -0.00002, 0.00001, -0.01, 0.86259, 0.28253, 42.37681, 4.72184, -3.36569
7, 6, 31.9701, 9.88793, 56.76178, 56.77172, -0.00746, 0.00666, 0.00002, 0.00665, 0.00745, -0.00038, 0.86261, 0.28249, 43.85751, 6.59976, -3.36619
8, 5, 32.09804, 9.7365, 56.7415, 56.75144, -0.00424, 0.00378, -0.00823, 0.00651, -0.00505, -0.00567, 0.86261, 0.28249, 43.9553, 6.51267, -3.45648
9, 7, 30.76472, 6.61316, 55.97841, 55.98835, -0.00811, 0.00585, 0.00003, -0.00002, 0.00001, -0.01, 0.86259, 0.28253, 42.37681, 4.72184, -3.36569
