VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 51.01598, 1.74499, 85.69817, 85.70808, -0.01, -4.93219E-16, 3.02736E-09, 5.02606E-16, -0.01, 3.10084E-11, 0.88005, 0.85833, 76.05063, 1.43607, 9.99445
1, 2, 51.15699, 1.73889, 85.47824, 85.48816, -0.01, -4.93219E-16, 3.02736E-09, -5.45950E-10, -0.00984, -0.0018, 0.88005, 0.85833, 76.05063, 1.43607, 9.73115
2, 1, 51.15699, -0.74814, 85.50122, 85.51113, -0.01, -4.93219E-16, 3.02736E-09, 5.02606E-16, -0.01, 3.10084E-11, 0.88005, 0.85833, 76.05063, 3.04751E-07, 9.73115
3, 3, 51.01598, 1.74499, 85.69817, 85.70808, -0.01, -4.93219E-16, 3.02736E-09, 5.02606E-16, -0.01, 3.10084E-11, 0.88005, 0.85833, 76.05063, 1.43607, 9.99445
4, 1, 51.15699, -0.74814, 85.50122, 85.51113, -0.01, -4.93219E-16, 3.02736E-09, 5.02606E-16, -0.01, 3.10084E-11, 0.88005, 0.85833, 76.05063, 3.04751E-07, 9.73115
5, 0, 51.01598, -0.74204, 85.72114, 85.73105, -0.01, -4.93219E-16, 3.02736E-09, 5.02606E-16, -0.01, 3.10084E-11, 0.88005, 0.85833, 76.05063, 3.04751E-07, 9.99445
6, 7, 51.23024, -0.73803, 85.86583, 85.87575, 0.01, -8.68147E-16, 5.32865E-09, 8.84671E-16, 0.01, -3.10084E-11, 0.88005, 0.85833, 76.31389, 3.04751E-07, 9.99445
7, 6, 51.37125, -0.74413, 85.6459, 85.65582, 0.01, -8.68147E-16, 5.32865E-09, 9.60964E-10, 0.00984, -0.0018, 0.88005, 0.85833, 76.31389, 3.04751E-07, 9.73115
8, 5, 51.37125, 1.7429, 85.62293, 85.63285, 0.01, -8.68147E-16, 5.32865E-09, 8.84671E-16, 0.01, -3.10084E-11, 0.88005, 0.85833, 76.31389, 1.43607, 9.73115
9, 7, 51.23024, -0.73803, 85.86583, 85.87575, 0.01, -8.68147E-16, 5.32865E-09, 8.84671E-16, 0.01, -3.10084E-11, 0.88005, 0.85833, 76.31389, 3.04751E-07, 9.99445
10, 5, 51.37125, 1.7429, 85.62293, 85.63285, 0.01, -8.68147E-16, 5.32865E-09, 8.84671E-16, 0.01, -3.10084E-11, 0.88005, 0.85833, 76.31389, 1.43607, 9.73115
11, 4, 51.23024, 1.749, 85.84285, 85.85277, 0.01, -8.68147E-16, 5.32865E-09, 8.84671E-16, 0.01, -3.10084E-11, 0.88005, 0.85833, 76.31389, 1.43607, 9.99445
12, 11, 51.15699, 1.73889, 85.47824, 85.48816, 0.00, -2.31219E-09, -0.01, 0.00, -0.01, 2.31219E-09, 0.88005, 0.85833, 76.05063, 1.43607, 9.73115
13, 10, 51.37125, 1.7429, 85.62293, 85.63285, 0.00, -2.31219E-09, -0.01, 0.0018, -0.00984, 2.27429E-09, 0.88005, 0.85833, 76.31389, 1.43607, 9.73115
14, 9, 51.37125, -0.74413, 85.6459, 85.65582, 0.00, -2.31219E-09, -0.01, 0.00, -0.01, 2.31219E-09, 0.88005, 0.85833, 76.31389, 3.04751E-07, 9.73115
15, 11, 51.15699, 1.73889, 85.47824, 85.48816, 0.00, -2.31219E-09, -0.01, 0.00, -0.01, 2.31219E-09, 0.88005, 0.85833, 76.05063, 1.43607, 9.73115
16, 9, 51.37125, -0.74413, 85.6459, 85.65582, 0.00, -2.31219E-09, -0.01, 0.00, -0.01, 2.31219E-09, 0.88005, 0.85833, 76.31389, 3.04751E-07, 9.73115
17, 8, 51.15699, -0.74814, 85.50122, 85.51113, 0.00, -2.31219E-09, -0.01, 0.00, -0.01, 2.31219E-09, 0.88005, 0.85833, 76.05063, 3.04751E-07, 9.73115
18, 15, 51.23024, 1.749, 85.84285, 85.85277, 0.00, -5.26478E-11, 0.01, 0.00, -0.01, -5.26478E-11, 0.88005, 0.85833, 76.31389, 1.43607, 9.99445
19, 14, 51.01598, 1.74499, 85.69817, 85.70808, 0.00, -5.26478E-11, 0.01, -0.0018, -0.00984, -5.17849E-11, 0.88005, 0.85833, 76.05063, 1.43607, 9.99445
20, 13, 51.01598, -0.74204, 85.72114, 85.73105, 0.00, -5.26478E-11, 0.01, 0.00, -0.01, -5.26478E-11, 0.88005, 0.85833, 76.05063, 3.04751E-07, 9.99445
21, 15, 51.23024, 1.749, 85.84285, 85.85277, 0.00, -5.26478E-11, 0.01, 0.00, -0.01, -5.26478E-11, 0.88005, 0.85833, 76.31389, 1.43607, 9.99445
22, 13, 51.01598, -0.74204, 85.72114, 85.73105, 0.00, -5.26478E-11, 0.01, 0.00, -0.01, -5.26478E-11, 0.88005, 0.85833, 76.05063, 3.04751E-07, 9.99445
23, 12, 51.23024, -0.73803, 85.86583, 85.87575, 0.00, -5.26478E-11, 0.01, 0.00, -0.01, -5.26478E-11, 0.88005, 0.85833, 76.31389, 3.04751E-07, 9.99445
24, 19, 57.09038, 1.98268, 94.27449, 94.28439, 0.01, -3.95880E-15, -1.26110E-08, -3.91970E-15, -0.01, 3.10089E-11, 0.88005, 0.85833, 85.97391, 1.43607, 13.73249
25, 18, 56.94937, 1.98878, 94.49441, 94.50432, 0.01, -3.95880E-15, -1.26110E-08, 2.27425E-09, -0.00984, 0.0018, 0.88005, 0.85833, 85.97391, 1.43607, 13.99579
26, 17, 56.94937, -0.49825, 94.51738, 94.5273, 0.01, -3.95880E-15, -1.26110E-08, -3.91970E-15, -0.01, 3.10089E-11, 0.88005, 0.85833, 85.97391, 6.09501E-07, 13.99579
27, 19, 57.09038, 1.98268, 94.27449, 94.28439, 0.01, -3.95880E-15, -1.26110E-08, -3.91970E-15, -0.01, 3.10089E-11, 0.88005, 0.85833, 85.97391, 1.43607, 13.73249
28, 17, 56.94937, -0.49825, 94.51738, 94.5273, 0.01, -3.95880E-15, -1.26110E-08, -3.91970E-15, -0.01, 3.10089E-11, 0.88005, 0.85833, 85.97391, 6.09501E-07, 13.99579
29, 16, 57.09038, -0.50435, 94.29747, 94.30737, 0.01, -3.95880E-15, -1.26110E-08, -3.91970E-15, -0.01, 3.10089E-11, 0.88005, 0.85833, 85.97391, 6.09501E-07, 13.73249
