VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 35.36299, -0.43777, 74.43051, 74.44044, -0.00021, 0.00718, -0.00696, -0.00001, 0.00696, 0.00718, 0.8277, 0.80716, 56.4254, 0.35629, 9.39777
1, 2, 34.34764, -0.47028, 73.7679, 73.77783, -0.00015, 0.00735, -0.00678, -0.00002, 0.00678, 0.00735, 0.8277, 0.80698, 55.19046, 0.34812, 9.41693
2, 1, 34.27846, -0.39088, 73.87509, 73.88502, -0.00013, 0.00999, 0.00032, 0.00002, -0.00032, 0.00999, 0.82783, 0.80698, 55.19046, 0.39225, 9.54611
3, 3, 35.36299, -0.43777, 74.43051, 74.44044, -0.00021, 0.00718, -0.00696, -0.00001, 0.00696, 0.00718, 0.8277, 0.80716, 56.4254, 0.35629, 9.39777
4, 1, 34.27846, -0.39088, 73.87509, 73.88502, -0.00013, 0.00999, 0.00032, 0.00002, -0.00032, 0.00999, 0.82783, 0.80698, 55.19046, 0.39225, 9.54611
5, 0, 35.29428, -0.34277, 74.53683, 74.54676, -0.00026, 0.01, 0.00009, -0.00122, -0.00012, 0.00993, 0.82783, 0.80716, 56.4254, 0.40943, 9.52608
6, 7, 35.39145, -0.6612, 74.38818, 74.39811, -0.00009, 0.00014, -0.01, -5.89863E-06, 0.01, 0.00014, 0.82756, 0.80716, 56.4254, 0.22799, 9.34463
7, 6, 34.38124, -0.67866, 73.71741, 73.72733, -0.00009, 0.00036, -0.00999, -0.00001, 0.00999, 0.00036, 0.82756, 0.80698, 55.19046, 0.22864, 9.35419
8, 5, 34.34764, -0.47028, 73.7679, 73.77783, -0.00015, 0.00735, -0.00678, -0.00002, 0.00678, 0.00735, 0.8277, 0.80698, 55.19046, 0.34812, 9.41693
9, 7, 35.39145, -0.6612, 74.38818, 74.39811, -0.00009, 0.00014, -0.01, -5.89863E-06, 0.01, 0.00014, 0.82756, 0.80716, 56.4254, 0.22799, 9.34463
10, 5, 34.34764, -0.47028, 73.7679, 73.77783, -0.00015, 0.00735, -0.00678, -0.00002, 0.00678, 0.00735, 0.8277, 0.80698, 55.19046, 0.34812, 9.41693
11, 4, 35.36299, -0.43777, 74.43051, 74.44044, -0.00021, 0.00718, -0.00696, -0.00001, 0.00696, 0.00718, 0.8277, 0.80716, 56.4254, 0.35629, 9.39777
12, 11, 35.36299, -0.88217, 74.43462, 74.44455, 0.00003, -0.007, -0.00714, 1.83828E-06, 0.00714, -0.007, 0.82742, 0.80716, 56.4254, 0.09968, 9.39777
13, 10, 34.35833, -0.88826, 73.75509, 73.76501, -0.00004, -0.00688, -0.00726, -5.54318E-06, 0.00726, -0.00688, 0.82742, 0.80698, 55.19046, 0.10704, 9.39698
14, 9, 34.38124, -0.67866, 73.71741, 73.72733, -0.00009, 0.00036, -0.00999, -0.00001, 0.00999, 0.00036, 0.82756, 0.80698, 55.19046, 0.22864, 9.35419
15, 11, 35.36299, -0.88217, 74.43462, 74.44455, 0.00003, -0.007, -0.00714, 1.83828E-06, 0.00714, -0.007, 0.82742, 0.80716, 56.4254, 0.09968, 9.39777
16, 9, 34.38124, -0.67866, 73.71741, 73.72733, -0.00009, 0.00036, -0.00999, -0.00001, 0.00999, 0.00036, 0.82756, 0.80698, 55.19046, 0.22864, 9.35419
17, 8, 35.39145, -0.6612, 74.38818, 74.39811, -0.00009, 0.00014, -0.01, -5.89863E-06, 0.01, 0.00014, 0.82756, 0.80716, 56.4254, 0.22799, 9.34463
18, 15, 35.29428, -0.97124, 74.54264, 74.55257, 0.00007, -0.01, -0.00011, 0.00063, 0.00012, -0.00998, 0.82728, 0.80716, 56.4254, 0.04654, 9.52608
19, 14, 34.29514, -0.98277, 73.85453, 73.86446, -0.00003, -0.01, -0.00031, 0.00105, 0.0003, -0.00994, 0.82728, 0.80698, 55.19046, 0.05089, 9.51496
20, 13, 34.35833, -0.88826, 73.75509, 73.76501, -0.00004, -0.00688, -0.00726, -5.54318E-06, 0.00726, -0.00688, 0.82742, 0.80698, 55.19046, 0.10704, 9.39698
21, 15, 35.29428, -0.97124, 74.54264, 74.55257, 0.00007, -0.01, -0.00011, 0.00063, 0.00012, -0.00998, 0.82728, 0.80716, 56.4254, 0.04654, 9.52608
22, 13, 34.35833, -0.88826, 73.75509, 73.76501, -0.00004, -0.00688, -0.00726, -5.54318E-06, 0.00726, -0.00688, 0.82742, 0.80698, 55.19046, 0.10704, 9.39698
23, 12, 35.36299, -0.88217, 74.43462, 74.44455, 0.00003, -0.007, -0.00714, 1.83828E-06, 0.00714, -0.007, 0.82742, 0.80716, 56.4254, 0.09968, 9.39777
24, 19, 35.19167, -0.87686, 74.62607, 74.63599, 0.00001, -0.00723, 0.00691, 0.00215, -0.00674, -0.00706, 0.82715, 0.80716, 56.38375, 0.09968, 9.65438
