VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, -0.99499, -1.72401, 50.29047, 50.30042, -1.33192E-19, -0.01, -4.55191E-15, -5.35617E-08, 4.55191E-15, -0.01, 0.74659, 0.58857, 11.97688, 2.91038E-13, 9.73818
1, 2, -1.03108, -1.72245, 50.34676, 50.35671, 1.10307E-19, -0.01, -4.66294E-15, 2.05155E-07, 4.66294E-15, -0.01, 0.74654, 0.58857, 11.97688, 0.00, 9.80558
2, 1, -1.47457, -1.72581, 50.22534, 50.23529, 9.43323E-15, -0.01, -4.55191E-15, -1.82641E-07, 4.55191E-15, -0.01, 0.74632, 0.58887, 11.52987, 0.00, 9.95435
3, 3, -0.99499, -1.72401, 50.29047, 50.30042, -1.33192E-19, -0.01, -4.55191E-15, -5.35617E-08, 4.55191E-15, -0.01, 0.74659, 0.58857, 11.97688, 2.91038E-13, 9.73818
4, 1, -1.47457, -1.72581, 50.22534, 50.23529, 9.43323E-15, -0.01, -4.55191E-15, -1.82641E-07, 4.55191E-15, -0.01, 0.74632, 0.58887, 11.52987, 0.00, 9.95435
5, 0, -1.43847, -1.72737, 50.16904, 50.17899, 9.43323E-15, -0.01, -4.55191E-15, -1.82641E-07, 4.55191E-15, -0.01, 0.74638, 0.58887, 11.52987, 2.91038E-13, 9.88695
6, 7, -0.71085, -1.71375, 50.66041, 50.67036, -9.43321E-15, -0.01, -4.66294E-15, 2.04598E-07, 4.66294E-15, -0.01, 0.74638, 0.58827, 12.42388, 0.00, 9.88695
7, 6, -0.74695, -1.71219, 50.71671, 50.72666, -9.43321E-15, -0.01, -4.66294E-15, 1.85706E-07, 4.66294E-15, -0.01, 0.74632, 0.58827, 12.42388, 0.00, 9.95435
8, 5, -1.03108, -1.72245, 50.34676, 50.35671, 1.10307E-19, -0.01, -4.66294E-15, 2.05155E-07, 4.66294E-15, -0.01, 0.74654, 0.58857, 11.97688, 0.00, 9.80558
9, 7, -0.71085, -1.71375, 50.66041, 50.67036, -9.43321E-15, -0.01, -4.66294E-15, 2.04598E-07, 4.66294E-15, -0.01, 0.74638, 0.58827, 12.42388, 0.00, 9.88695
10, 5, -1.03108, -1.72245, 50.34676, 50.35671, 1.10307E-19, -0.01, -4.66294E-15, 2.05155E-07, 4.66294E-15, -0.01, 0.74654, 0.58857, 11.97688, 0.00, 9.80558
11, 4, -0.99499, -1.72401, 50.29047, 50.30042, -1.33192E-19, -0.01, -4.55191E-15, -5.35617E-08, 4.55191E-15, -0.01, 0.74659, 0.58857, 11.97688, 2.91038E-13, 9.73818
12, 11, -0.71085, -0.33848, 50.64771, 50.65765, 0.01, 1.29649E-14, 1.89308E-07, 1.89308E-07, 1.62921E-09, -0.01, 0.74392, 0.58834, 12.42388, 0.79412, 9.88695
13, 10, -0.74695, -0.33692, 50.704, 50.71395, 0.01, 1.29649E-14, 1.89308E-07, 1.89308E-07, 1.62921E-09, -0.01, 0.74387, 0.58834, 12.42388, 0.79412, 9.95435
14, 9, -0.74695, -1.71219, 50.71671, 50.72666, 0.01, 1.29649E-14, 1.89308E-07, 1.89308E-07, 1.62921E-09, -0.01, 0.74387, 0.58887, 12.42388, 0.00, 9.95435
15, 11, -0.71085, -0.33848, 50.64771, 50.65765, 0.01, 1.29649E-14, 1.89308E-07, 1.89308E-07, 1.62921E-09, -0.01, 0.74392, 0.58834, 12.42388, 0.79412, 9.88695
16, 9, -0.74695, -1.71219, 50.71671, 50.72666, 0.01, 1.29649E-14, 1.89308E-07, 1.89308E-07, 1.62921E-09, -0.01, 0.74387, 0.58887, 12.42388, 0.00, 9.95435
17, 8, -0.71085, -1.71375, 50.66041, 50.67036, 0.01, 1.29649E-14, 1.89308E-07, 1.89308E-07, 1.62921E-09, -0.01, 0.74392, 0.58887, 12.42388, 0.00, 9.88695
18, 14, -1.03108, -0.91733, 50.33932, 50.34927, -0.00316, 1.08179E-08, 0.00949, -1.98475E-06, -0.01, -6.49150E-07, 0.74562, 0.58857, 11.97688, 0.46489, 9.80558
19, 13, -0.74695, -1.71219, 50.71671, 50.72666, -0.00316, 2.59906E-09, 0.00949, -1.48676E-06, -0.01, -4.92078E-07, 0.7463, 0.58827, 12.42388, 0.00, 9.95435
20, 12, -0.98061, -0.778, 50.40377, 50.41372, -0.00316, 5.97663E-09, 0.00949, -1.48792E-06, -0.01, -4.88904E-07, 0.7455, 0.58852, 12.05628, 0.5443, 9.83201
21, 17, -1.47457, -1.72581, 50.22534, 50.23529, 0.00316, 7.06621E-10, 0.00949, -1.80163E-06, -0.01, 6.00351E-07, 0.7463, 0.58887, 11.52987, 0.00, 9.95435
22, 16, -1.03108, -1.72245, 50.34676, 50.35671, 0.00316, 1.21815E-09, 0.00949, 7.05755E-14, -0.01, 1.28382E-09, 0.7463, 0.58857, 11.97688, 0.00, 9.80558
23, 15, -1.03108, -0.91733, 50.33932, 50.34927, 0.00316, -6.06254E-10, 0.00949, -2.40259E-06, -0.01, 7.98976E-07, 0.74562, 0.58857, 11.97688, 0.46489, 9.80558
24, 21, -1.43847, -1.72737, 50.16904, 50.17899, -0.01, 1.22736E-14, 1.77255E-07, -1.77255E-07, 1.62921E-09, -0.01, 0.74385, 0.58834, 11.52987, 2.91038E-13, 9.88695
25, 20, -1.47457, -1.72581, 50.22534, 50.23529, -0.01, 1.22736E-14, 1.77255E-07, -1.77255E-07, -2.99760E-15, -0.01, 0.7438, 0.58834, 11.52987, 0.00, 9.95435
26, 19, -1.47457, -0.35053, 50.21263, 50.22258, -0.01, 1.22736E-14, 1.77255E-07, -1.77255E-07, 1.62921E-09, -0.01, 0.7438, 0.58887, 11.52987, 0.79412, 9.95435
27, 21, -1.43847, -1.72737, 50.16904, 50.17899, -0.01, 1.22736E-14, 1.77255E-07, -1.77255E-07, 1.62921E-09, -0.01, 0.74385, 0.58834, 11.52987, 2.91038E-13, 9.88695
28, 19, -1.47457, -0.35053, 50.21263, 50.22258, -0.01, 1.22736E-14, 1.77255E-07, -1.77255E-07, 1.62921E-09, -0.01, 0.7438, 0.58887, 11.52987, 0.79412, 9.95435
29, 18, -1.43847, -0.35209, 50.15633, 50.16628, -0.01, 1.22736E-14, 1.77255E-07, -1.77255E-07, 1.62921E-09, -0.01, 0.74385, 0.58887, 11.52987, 0.79412, 9.88695
30, 24, -0.99499, -0.91889, 50.28303, 50.29298, -0.00316, -8.40114E-09, -0.00949, 2.04266E-06, -0.01, -6.70967E-07, 0.74443, 0.58857, 11.97688, 0.46489, 9.73818
31, 23, -1.43847, -1.72737, 50.16904, 50.17899, -0.00316, -2.17094E-09, -0.00949, 1.53063E-06, -0.01, -5.07127E-07, 0.74511, 0.58827, 11.52987, 2.91038E-13, 9.88695
32, 22, -1.07376, -0.78197, 50.26019, 50.27013, -0.00316, -4.62864E-09, -0.00949, 1.53151E-06, -0.01, -5.04829E-07, 0.74431, 0.58852, 11.89747, 0.5443, 9.7646
33, 27, -0.71085, -1.71375, 50.66041, 50.67036, 0.00316, 7.99874E-10, -0.00949, 1.79191E-06, -0.01, 5.95533E-07, 0.74511, 0.58887, 12.42388, 0.00, 9.88695
34, 26, -0.99499, -1.72401, 50.29047, 50.30042, 0.00316, -1.17563E-09, -0.00949, 1.33559E-11, -0.01, 1.24348E-09, 0.74511, 0.58857, 11.97688, 2.91038E-13, 9.73818
35, 25, -0.99499, -0.91889, 50.28303, 50.29298, 0.00316, 9.64273E-09, -0.00949, 2.39184E-06, -0.01, 7.85885E-07, 0.74443, 0.58857, 11.97688, 0.46489, 9.73818
36, 31, -1.43847, -0.35209, 50.15633, 50.16628, -1.50351E-09, 0.01, 1.62921E-09, -1.82173E-07, 1.62918E-09, -0.01, 0.74502, 0.58803, 11.52987, 0.79412, 9.88695
37, 30, -1.47457, -0.35053, 50.21263, 50.22258, -1.50351E-09, 0.01, 1.62921E-09, -1.76862E-07, 1.62918E-09, -0.01, 0.74496, 0.58803, 11.52987, 0.79412, 9.95435
38, 29, -1.10986, -0.34777, 50.31249, 50.32244, -1.50351E-09, 0.01, 1.62921E-09, -1.82173E-07, 1.62918E-09, -0.01, 0.74514, 0.58827, 11.89748, 0.79412, 9.83201
39, 31, -1.43847, -0.35209, 50.15633, 50.16628, -1.50351E-09, 0.01, 1.62921E-09, -1.82173E-07, 1.62918E-09, -0.01, 0.74502, 0.58803, 11.52987, 0.79412, 9.88695
