VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 0.90863, -1.02337, 52.76905, 52.779, -4.30860E-10, 0.0012, -0.00993, -0.00999, 0.00053, 0.00006, 0.55064, 0.98089, 14.97493, 0.36481, 10.7398
1, 2, 1.05127, -1.05715, 52.82347, 52.83342, -0.004, 0.00174, -0.009, -0.00881, 0.00199, 0.0043, 0.55061, 0.98089, 15.12697, 0.34444, 10.70452
2, 1, 1.03448, -1.18502, 52.80866, 52.81861, -0.004, 0.00174, -0.009, -0.00881, 0.00199, 0.0043, 0.55061, 0.98108, 15.10378, 0.27086, 10.70063
3, 3, 0.90863, -1.02337, 52.76905, 52.779, -4.30860E-10, 0.0012, -0.00993, -0.00999, 0.00053, 0.00006, 0.55064, 0.98089, 14.97493, 0.36481, 10.7398
4, 1, 1.03448, -1.18502, 52.80866, 52.81861, -0.004, 0.00174, -0.009, -0.00881, 0.00199, 0.0043, 0.55061, 0.98108, 15.10378, 0.27086, 10.70063
5, 0, 0.91359, -1.15639, 52.76254, 52.77248, -4.41267E-10, 0.0012, -0.00993, -0.00999, 0.00053, 0.00006, 0.55064, 0.98108, 14.97493, 0.28812, 10.73054
6, 7, 1.05127, -1.05715, 52.82347, 52.83342, -0.004, 0.00174, -0.009, -0.00881, 0.00199, 0.0043, 0.55061, 0.98089, 15.12697, 0.34444, 10.70452
7, 6, 1.19348, -1.15406, 52.80502, 52.81497, -0.00693, 0.0032, -0.00646, -0.00527, 0.00387, 0.00756, 0.55058, 0.98089, 15.23827, 0.28879, 10.60813
8, 5, 1.15501, -1.26715, 52.79303, 52.80297, -0.00693, 0.0032, -0.00646, -0.00527, 0.00387, 0.00756, 0.55058, 0.98108, 15.19812, 0.22369, 10.61894
9, 7, 1.05127, -1.05715, 52.82347, 52.83342, -0.004, 0.00174, -0.009, -0.00881, 0.00199, 0.0043, 0.55061, 0.98089, 15.12697, 0.34444, 10.70452
10, 5, 1.15501, -1.26715, 52.79303, 52.80297, -0.00693, 0.0032, -0.00646, -0.00527, 0.00387, 0.00756, 0.55058, 0.98108, 15.19812, 0.22369, 10.61894
11, 4, 1.03448, -1.18502, 52.80866, 52.81861, -0.004, 0.00174, -0.009, -0.00881, 0.00199, 0.0043, 0.55061, 0.98108, 15.10378, 0.27086, 10.70063
