VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 43.2176, 0.31146, 80.39198, 80.4019, -1.18182E-10, 7.55018E-12, 0.01, -2.73981E-19, -0.01, 7.55029E-12, 0.84531, 0.73702, 66.44047, 0.69342, 9.95127
1, 2, 43.2176, 0.83873, 80.38712, 80.39703, -1.18182E-10, 7.55018E-12, 0.01, -5.44949E-19, -0.01, 7.55018E-12, 0.84521, 0.73702, 66.44047, 0.99788, 9.95127
2, 1, 32.72258, 0.6423, 73.29964, 73.30957, -1.18182E-10, 7.55018E-12, 0.01, -2.73981E-19, -0.01, 7.55029E-12, 0.84521, 0.73692, 53.54539, 0.99788, 9.95127
3, 3, 43.2176, 0.31146, 80.39198, 80.4019, -1.18182E-10, 7.55018E-12, 0.01, -2.73981E-19, -0.01, 7.55029E-12, 0.84531, 0.73702, 66.44047, 0.69342, 9.95127
4, 1, 32.72258, 0.6423, 73.29964, 73.30957, -1.18182E-10, 7.55018E-12, 0.01, -2.73981E-19, -0.01, 7.55029E-12, 0.84521, 0.73692, 53.54539, 0.99788, 9.95127
5, 0, 32.72258, 0.14251, 73.30426, 73.31418, -1.18182E-10, 7.55018E-12, 0.01, -2.73981E-19, -0.01, 7.55029E-12, 0.84531, 0.73692, 53.54539, 0.70929, 9.95127
6, 7, 43.25787, 0.30972, 80.32919, 80.33911, 0.01, 0.00, 0.00, 0.00, -0.01, -8.52268E-11, 0.84531, 0.73712, 66.44047, 0.69342, 9.87609
7, 6, 43.25787, 0.83699, 80.32432, 80.33424, 0.01, 0.00, 0.00, 0.00, -0.01, 8.37967E-11, 0.84521, 0.73712, 66.44047, 0.99788, 9.87609
8, 5, 43.2176, 0.83873, 80.38712, 80.39703, 0.01, 0.00, 0.00, 0.00, -0.01, -8.52268E-11, 0.84521, 0.73702, 66.44047, 0.99788, 9.95127
9, 7, 43.25787, 0.30972, 80.32919, 80.33911, 0.01, 0.00, 0.00, 0.00, -0.01, -8.52268E-11, 0.84531, 0.73712, 66.44047, 0.69342, 9.87609
10, 5, 43.2176, 0.83873, 80.38712, 80.39703, 0.01, 0.00, 0.00, 0.00, -0.01, -8.52268E-11, 0.84521, 0.73702, 66.44047, 0.99788, 9.95127
11, 4, 43.2176, 0.31146, 80.39198, 80.4019, 0.01, 0.00, 0.00, 0.00, -0.01, -8.52268E-11, 0.84531, 0.73702, 66.44047, 0.69342, 9.95127
