VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 2, 40.76576, -0.83131, 78.80468, 78.81461, -8.53265E-11, 0.01, -9.44955E-12, -0.00556, -3.95478E-11, 0.00831, 0.75207, 0.59277, 63.45998, 0.05913, 10.00
1, 1, 40.1243, -0.82754, 78.94046, 78.95038, 1.67094E-10, 0.01, -4.84204E-11, -0.00609, 1.40125E-10, 0.00793, 0.75207, 0.59277, 62.98463, 0.05913, 10.47536
2, 0, 40.29173, -0.82561, 79.01022, 79.02014, -4.60953E-10, 0.01, 5.72229E-11, -0.005, -2.80068E-10, 0.00866, 0.75207, 0.59277, 63.16654, 0.05913, 10.43917
3, 5, 40.76576, -0.83131, 78.80468, 78.81461, -8.53265E-11, 0.01, -9.44955E-12, -0.00764, -7.12564E-11, -0.00646, 0.75207, 0.59277, 63.45998, 0.05913, 10.00
4, 4, 40.76213, -0.84594, 78.27657, 78.2865, 3.18998E-10, 0.01, 5.72218E-11, -0.00659, 2.53371E-10, -0.00752, 0.75207, 0.59277, 63.16654, 0.05913, 9.56083
5, 3, 40.63346, -0.84955, 78.14636, 78.15629, -4.49426E-10, 0.01, -4.84203E-11, -0.00752, -3.69798E-10, -0.00659, 0.75207, 0.59277, 62.98463, 0.05913, 9.52464
6, 8, 40.76576, -0.83131, 78.80468, 78.81461, -8.53265E-11, 0.01, -9.44955E-12, -0.00556, -3.95478E-11, 0.00831, 0.75207, 0.59277, 63.45998, 0.05913, 10.00
7, 7, 40.47243, -0.82565, 79.00891, 79.01883, -2.02127E-10, 0.01, -1.06802E-10, -0.00259, 5.08693E-11, 0.00966, 0.75207, 0.59277, 63.32076, 0.05913, 10.33613
8, 6, 40.63889, -0.82765, 78.93674, 78.94666, -2.82978E-09, 0.01, 1.32229E-11, -0.00195, -5.65030E-10, 0.00981, 0.75207, 0.59277, 63.4238, 0.05913, 10.18191
9, 11, 40.76576, -0.83131, 78.80468, 78.81461, -8.53265E-11, 0.01, -9.44955E-12, -0.00556, -3.95478E-11, 0.00831, 0.75207, 0.59277, 63.45998, 0.05913, 10.00
