VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 2, 42.92733, 0.8364, 78.69785, 78.70776, -0.00779, 0.0015, -0.00608, -0.00619, -0.00038, 0.00784, 0.78577, 0.64873, 65.26311, 1.02356, 8.70405
1, 1, 42.83404, 1.06636, 78.74933, 78.75925, -0.00779, 0.0015, -0.00608, -0.00619, -0.00038, 0.00784, 0.78577, 0.64876, 65.21258, 1.15549, 8.80146
2, 0, 42.91051, 1.1261, 78.72781, 78.73773, -0.00779, 0.0015, -0.00608, -0.00619, -0.00038, 0.00784, 0.78577, 0.64876, 65.26662, 1.19032, 8.74081
3, 6, 41.90662, -0.54711, 79.93117, 79.94109, -0.00206, -0.0095, -0.00236, 0.00071, 0.00226, -0.00971, 0.78577, 0.64954, 65.05877, 0.20516, 10.29942
4, 5, 40.79287, -0.73064, 80.54096, 80.55089, -0.00206, -0.0095, -0.00236, -0.00885, 0.00078, 0.00458, 0.78577, 0.64937, 64.43805, 0.08946, 11.43572
5, 4, 41.3333, -0.46846, 79.86871, 79.87863, -0.00206, -0.0095, -0.00236, 0.00071, 0.00226, -0.00971, 0.78577, 0.6495, 64.53327, 0.25157, 10.57133
6, 6, 41.90662, -0.54711, 79.93117, 79.94109, -0.00206, -0.0095, -0.00236, 0.00071, 0.00226, -0.00971, 0.78577, 0.64954, 65.05877, 0.20516, 10.29942
7, 4, 41.3333, -0.46846, 79.86871, 79.87863, -0.00206, -0.0095, -0.00236, 0.00071, 0.00226, -0.00971, 0.78577, 0.6495, 64.53327, 0.25157, 10.57133
8, 3, 42.23964, -0.28363, 79.49498, 79.5049, -0.00206, -0.0095, -0.00236, 0.00071, 0.00226, -0.00971, 0.78577, 0.64963, 65.1059, 0.36424, 9.74922
9, 9, 43.18759, 3.51546, 82.08481, 82.09473, 0.00413, 0.00891, 0.00188, 0.00881, -0.00339, -0.0033, 0.78577, 0.64904, 67.36142, 2.51593, 11.40687
10, 8, 43.26194, 3.34773, 82.26961, 82.27953, 0.00413, 0.00891, 0.00188, 0.00881, -0.00339, -0.0033, 0.78577, 0.64907, 67.52589, 2.41615, 11.51799
11, 7, 43.372, 3.44017, 82.06636, 82.07628, 0.00413, 0.00891, 0.00188, 0.00881, -0.00339, -0.0033, 0.78577, 0.64903, 67.50902, 2.47277, 11.28683
12, 13, 41.13906, -0.32205, 79.48982, 79.49974, -0.00135, -0.00961, -0.00242, 0.00853, -0.00236, 0.00464, 0.78577, 0.64949, 64.15922, 0.34214, 10.36558
13, 12, 41.8644, -0.20215, 79.34105, 79.35097, -0.00135, -0.00961, -0.00242, 0.00838, 0.0002, -0.00546, 0.78577, 0.64959, 64.69997, 0.41374, 9.833
14, 11, 42.23964, -0.28363, 79.49498, 79.5049, -0.00135, -0.00961, -0.00242, 0.00853, -0.00236, 0.00464, 0.78577, 0.64963, 65.1059, 0.36424, 9.74922
15, 13, 41.13906, -0.32205, 79.48982, 79.49974, -0.00135, -0.00961, -0.00242, 0.00853, -0.00236, 0.00464, 0.78577, 0.64949, 64.15922, 0.34214, 10.36558
16, 11, 42.23964, -0.28363, 79.49498, 79.5049, -0.00135, -0.00961, -0.00242, 0.00853, -0.00236, 0.00464, 0.78577, 0.64963, 65.1059, 0.36424, 9.74922
17, 10, 41.3333, -0.46846, 79.86871, 79.87863, -0.00135, -0.00961, -0.00242, 0.00853, -0.00236, 0.00464, 0.78577, 0.6495, 64.53327, 0.25157, 10.57133
18, 17, 42.25628, 0.80532, 79.1597, 79.16962, -0.00752, 0.00386, -0.00535, -0.00359, 0.00441, 0.00823, 0.78577, 0.64878, 64.94142, 0.99823, 9.4682
19, 16, 42.44298, 0.47274, 78.99965, 79.00957, -0.00752, 0.00386, -0.00535, 0.00411, -0.00361, -0.00837, 0.78577, 0.64872, 65.01185, 0.8088, 9.2266
20, 15, 41.99009, 0.34209, 79.15013, 79.16005, -0.00752, 0.00386, -0.00535, -0.00359, 0.00441, 0.00823, 0.78577, 0.64858, 64.70557, 0.73098, 9.60682
21, 17, 42.25628, 0.80532, 79.1597, 79.16962, -0.00752, 0.00386, -0.00535, -0.00359, 0.00441, 0.00823, 0.78577, 0.64878, 64.94142, 0.99823, 9.4682
22, 15, 41.99009, 0.34209, 79.15013, 79.16005, -0.00752, 0.00386, -0.00535, -0.00359, 0.00441, 0.00823, 0.78577, 0.64858, 64.70557, 0.73098, 9.60682
23, 14, 41.93535, 0.70068, 79.25708, 79.267, -0.00752, 0.00386, -0.00535, -0.00359, 0.00441, 0.00823, 0.78577, 0.64866, 64.71925, 0.93627, 9.7298
24, 21, 41.93535, 0.70068, 79.25708, 79.267, -0.00605, 0.00442, -0.00662, 0.00019, -0.00823, -0.00568, 0.78577, 0.64866, 64.71925, 0.93627, 9.7298
25, 20, 41.99009, 0.34209, 79.15013, 79.16005, -0.006, 0.0045, -0.00662, -0.00798, -0.00287, 0.00529, 0.78577, 0.64858, 64.70557, 0.73098, 9.60682
26, 19, 41.54568, 0.49133, 79.26262, 79.27254, -0.00603, 0.00443, -0.00664, 0.00216, -0.00711, -0.0067, 0.78577, 0.64857, 64.38712, 0.81533, 9.95267
27, 21, 41.93535, 0.70068, 79.25708, 79.267, -0.00605, 0.00442, -0.00662, 0.00019, -0.00823, -0.00568, 0.78577, 0.64866, 64.71925, 0.93627, 9.7298
28, 19, 41.54568, 0.49133, 79.26262, 79.27254, -0.00603, 0.00443, -0.00664, 0.00216, -0.00711, -0.0067, 0.78577, 0.64857, 64.38712, 0.81533, 9.95267
29, 18, 41.53326, 1.17024, 79.45406, 79.46398, -0.006, 0.00445, -0.00665, 0.00215, -0.0071, -0.0067, 0.78577, 0.6486, 64.48513, 1.20418, 10.12481
30, 25, 44.05706, 2.0256, 79.47801, 79.48793, 0.00102, 0.0018, -0.00978, 0.00409, -0.00904, -0.00123, 0.78577, 0.64874, 66.6666, 1.69758, 8.72747
