VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 2, 45.25385, -0.82649, 81.77342, 81.78334, -0.0048, -0.00675, -0.00561, 0.00157, 0.00563, -0.00811, 0.83489, 0.18197, 68.93988, 0.01441, 9.94748
1, 1, 45.23422, -0.72469, 81.76756, 81.77748, -0.00663, 0.00511, -0.00548, 0.00675, 0.00725, -0.00139, 0.83489, 0.18197, 68.92035, 0.07327, 9.95445
2, 0, 45.32105, -0.77018, 81.77364, 81.78355, -0.00117, -0.00063, -0.00991, 0.00249, 0.00964, -0.00091, 0.83489, 0.18198, 68.9979, 0.04691, 9.91018
3, 5, 45.21405, -0.77871, 81.77536, 81.78528, -0.00938, -0.00202, -0.00283, -0.00296, 0.00037, 0.00955, 0.83489, 0.18197, 68.90707, 0.04196, 9.97192
4, 4, 45.20416, -0.74875, 81.79818, 81.8081, -0.00991, 0.00128, 0.00027, 0.00006, -0.00165, 0.00986, 0.83489, 0.18197, 68.91128, 0.05889, 9.99679
5, 3, 45.23422, -0.72469, 81.76756, 81.77748, -0.00663, 0.00511, -0.00548, -0.0057, 0.0013, 0.00811, 0.83489, 0.18197, 68.92035, 0.07327, 9.95445
6, 8, 45.19003, -0.80695, 81.82816, 81.83808, -0.00778, -0.00524, 0.00347, 0.00593, -0.00794, 0.00133, 0.83489, 0.18197, 68.91534, 0.02482, 10.02936
7, 7, 45.20416, -0.74875, 81.79818, 81.8081, -0.00991, 0.00128, 0.00027, -0.00105, -0.00905, 0.00412, 0.83489, 0.18197, 68.91128, 0.05889, 9.99679
8, 6, 45.21405, -0.77871, 81.77536, 81.78528, -0.00938, -0.00202, -0.00283, 0.00099, -0.00936, 0.00339, 0.83489, 0.18197, 68.90707, 0.04196, 9.97192
9, 11, 45.25385, -0.82649, 81.77342, 81.78334, -0.0048, -0.00675, -0.00561, -0.00865, 0.00471, 0.00174, 0.83489, 0.18197, 68.93988, 0.01441, 9.94748
10, 10, 45.19003, -0.80695, 81.82816, 81.83808, -0.00778, -0.00524, 0.00347, -0.00575, 0.00816, -0.00056, 0.83489, 0.18197, 68.91534, 0.02482, 10.02936
11, 9, 45.21405, -0.77871, 81.77536, 81.78528, -0.00938, -0.00202, -0.00283, -0.00263, 0.00944, 0.00198, 0.83489, 0.18197, 68.90707, 0.04196, 9.97192
12, 14, 45.24886, -0.84979, 81.83351, 81.84343, -0.00117, -0.00991, 0.0006, -0.00991, 0.00112, -0.00071, 0.83489, 0.18196, 68.96851, 0.00, 10.0003
13, 13, 45.25385, -0.82649, 81.77342, 81.78334, -0.0048, -0.00675, -0.00561, -0.00865, 0.00471, 0.00174, 0.83489, 0.18197, 68.93988, 0.01441, 9.94748
14, 12, 45.31876, -0.82241, 81.79739, 81.80731, 0.00114, -0.00806, -0.00581, -0.0099, -0.00043, -0.00134, 0.83489, 0.18198, 69.00873, 0.01638, 9.93091
15, 17, 45.19003, -0.80695, 81.82816, 81.83808, -0.00778, -0.00524, 0.00347, -0.00429, 0.0004, -0.00902, 0.83489, 0.18197, 68.91534, 0.02482, 10.02936
16, 16, 45.1933, -0.7389, 81.87231, 81.88223, -0.00738, 0.0031, 0.006, -0.00612, 0.00068, -0.00788, 0.83489, 0.18196, 68.94276, 0.06339, 10.06491
17, 15, 45.1975, -0.70888, 81.81284, 81.82275, -0.00761, 0.00626, 0.00172, -0.0027, -0.00066, -0.0096, 0.83489, 0.18196, 68.91383, 0.08167, 10.0131
