VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 3, 46.60119, 0.40114, 83.4275, 83.43742, -0.01, 0.00, 0.00, 0.00, -0.01, -1.62921E-09, 0.81628, 0.64493, 71.01048, 0.69663, 10.57835
1, 2, 46.60119, 0.57262, 83.42592, 83.43584, -0.01, 0.00, 0.00, 0.00, -0.01, -1.62921E-09, 0.81622, 0.64493, 71.01048, 0.79564, 10.57835
2, 1, 47.21876, 0.54592, 82.46275, 82.47267, -0.01, 0.00, 0.00, 0.00, -0.01, -1.62921E-09, 0.81622, 0.64487, 71.01048, 0.79564, 9.42522
3, 3, 46.60119, 0.40114, 83.4275, 83.43742, -0.01, 0.00, 0.00, 0.00, -0.01, -1.62921E-09, 0.81628, 0.64493, 71.01048, 0.69663, 10.57835
4, 1, 47.21876, 0.54592, 82.46275, 82.47267, -0.01, 0.00, 0.00, 0.00, -0.01, -1.62921E-09, 0.81622, 0.64487, 71.01048, 0.79564, 9.42522
5, 0, 47.21876, 0.37445, 82.46434, 82.47426, -0.01, 0.00, 0.00, 0.00, -0.01, -1.62921E-09, 0.81628, 0.64487, 71.01048, 0.69663, 9.42522
6, 7, 48.22263, 0.43149, 84.52248, 84.53239, 0.00, -1.62921E-09, 0.01, 0.00, -0.01, -1.62921E-09, 0.81628, 0.645, 73.00271, 0.69663, 10.57835
7, 6, 48.22263, 0.60297, 84.5209, 84.53082, 0.00, -1.62921E-09, 0.01, 0.00, -0.01, -1.62921E-09, 0.81622, 0.645, 73.00271, 0.79564, 10.57835
8, 5, 46.60119, 0.57262, 83.42592, 83.43584, 0.00, -1.62921E-09, 0.01, 0.00, -0.01, -1.62921E-09, 0.81622, 0.64493, 71.01048, 0.79564, 10.57835
9, 7, 48.22263, 0.43149, 84.52248, 84.53239, 0.00, -1.62921E-09, 0.01, 0.00, -0.01, -1.62921E-09, 0.81628, 0.645, 73.00271, 0.69663, 10.57835
10, 5, 46.60119, 0.57262, 83.42592, 83.43584, 0.00, -1.62921E-09, 0.01, 0.00, -0.01, -1.62921E-09, 0.81622, 0.64493, 71.01048, 0.79564, 10.57835
11, 4, 46.60119, 0.40114, 83.4275, 83.43742, 0.00, -1.62921E-09, 0.01, 0.00, -0.01, -1.62921E-09, 0.81628, 0.64493, 71.01048, 0.69663, 10.57835
12, 11, 48.8402, 0.4048, 83.55932, 83.56924, 0.01, 0.00, 0.00, 0.00, -0.01, -1.62921E-09, 0.81628, 0.64507, 73.00271, 0.69663, 9.42522
13, 10, 48.8402, 0.57627, 83.55774, 83.56766, 0.01, 0.00, 0.00, 0.00, -0.01, -1.62921E-09, 0.81622, 0.64507, 73.00271, 0.79564, 9.42522
14, 9, 48.22263, 0.60297, 84.5209, 84.53082, 0.01, 0.00, 0.00, 0.00, -0.01, -1.62921E-09, 0.81622, 0.645, 73.00271, 0.79564, 10.57835
15, 11, 48.8402, 0.4048, 83.55932, 83.56924, 0.01, 0.00, 0.00, 0.00, -0.01, -1.62921E-09, 0.81628, 0.64507, 73.00271, 0.69663, 9.42522
16, 9, 48.22263, 0.60297, 84.5209, 84.53082, 0.01, 0.00, 0.00, 0.00, -0.01, -1.62921E-09, 0.81622, 0.645, 73.00271, 0.79564, 10.57835
17, 8, 48.22263, 0.43149, 84.52248, 84.53239, 0.01, 0.00, 0.00, 0.00, -0.01, -1.62921E-09, 0.81628, 0.645, 73.00271, 0.69663, 10.57835
18, 15, 47.21876, 0.37445, 82.46434, 82.47426, 0.00, 1.62921E-09, -0.01, 0.00, -0.01, -1.62921E-09, 0.81628, 0.64513, 71.01048, 0.69663, 9.42522
19, 14, 47.21876, 0.54592, 82.46275, 82.47267, 0.00, 1.62921E-09, -0.01, 0.00, -0.01, -1.62921E-09, 0.81622, 0.64513, 71.01048, 0.79564, 9.42522
20, 13, 48.8402, 0.57627, 83.55774, 83.56766, 0.00, 1.62921E-09, -0.01, 0.00, -0.01, -1.62921E-09, 0.81622, 0.64507, 73.00271, 0.79564, 9.42522
21, 15, 47.21876, 0.37445, 82.46434, 82.47426, 0.00, 1.62921E-09, -0.01, 0.00, -0.01, -1.62921E-09, 0.81628, 0.64513, 71.01048, 0.69663, 9.42522
22, 13, 48.8402, 0.57627, 83.55774, 83.56766, 0.00, 1.62921E-09, -0.01, 0.00, -0.01, -1.62921E-09, 0.81622, 0.64507, 73.00271, 0.79564, 9.42522
23, 12, 48.8402, 0.4048, 83.55932, 83.56924, 0.00, 1.62921E-09, -0.01, 0.00, -0.01, -1.62921E-09, 0.81628, 0.64507, 73.00271, 0.69663, 9.42522
24, 19, 47.21876, 0.37445, 82.46434, 82.47426, 0.00, -0.01, 4.38364E-10, -0.01, 0.00, 0.00, 0.81635, 0.64507, 71.01048, 0.69663, 9.42522
25, 18, 48.8402, 0.4048, 83.55932, 83.56924, 0.00, -0.01, 4.38364E-10, -0.01, 0.00, 0.00, 0.81628, 0.64507, 73.00271, 0.69663, 9.42522
26, 17, 48.22263, 0.43149, 84.52248, 84.53239, 0.00, -0.01, 4.38364E-10, -0.01, 0.00, 0.00, 0.81628, 0.645, 73.00271, 0.69663, 10.57835
27, 19, 47.21876, 0.37445, 82.46434, 82.47426, 0.00, -0.01, 4.38364E-10, -0.01, 0.00, 0.00, 0.81635, 0.64507, 71.01048, 0.69663, 9.42522
28, 17, 48.22263, 0.43149, 84.52248, 84.53239, 0.00, -0.01, 4.38364E-10, -0.01, 0.00, 0.00, 0.81628, 0.645, 73.00271, 0.69663, 10.57835
29, 16, 46.60119, 0.40114, 83.4275, 83.43742, 0.00, -0.01, 4.38364E-10, -0.01, 0.00, 0.00, 0.81635, 0.645, 71.01048, 0.69663, 10.57835
30, 23, 48.8402, 0.57627, 83.55774, 83.56766, 0.00, 0.01, -4.38364E-10, 0.01, 0.00, 0.00, 0.81622, 0.64507, 73.00271, 0.79564, 9.42522
31, 22, 47.21876, 0.54592, 82.46275, 82.47267, 0.00, 0.01, -4.38364E-10, 0.01, 0.00, 0.00, 0.81615, 0.64507, 71.01048, 0.79564, 9.42522
32, 21, 46.60119, 0.57262, 83.42592, 83.43584, 0.00, 0.01, -4.38364E-10, 0.01, 0.00, 0.00, 0.81615, 0.645, 71.01048, 0.79564, 10.57835
33, 23, 48.8402, 0.57627, 83.55774, 83.56766, 0.00, 0.01, -4.38364E-10, 0.01, 0.00, 0.00, 0.81622, 0.64507, 73.00271, 0.79564, 9.42522
34, 21, 46.60119, 0.57262, 83.42592, 83.43584, 0.00, 0.01, -4.38364E-10, 0.01, 0.00, 0.00, 0.81615, 0.645, 71.01048, 0.79564, 10.57835
35, 20, 48.22263, 0.60297, 84.5209, 84.53082, 0.00, 0.01, -4.38364E-10, 0.01, 0.00, 0.00, 0.81622, 0.645, 73.00271, 0.79564, 10.57835
36, 27, 46.70323, 0.48, 83.48575, 83.49567, -0.01, 1.34515E-16, -8.25648E-10, -8.25647E-10, 2.62886E-09, 0.01, 0.81003, 0.68743, 71.13037, 0.74122, 10.57004
37, 26, 46.8413, 0.47404, 83.27042, 83.28033, -0.01, 1.34515E-16, -8.25648E-10, -8.25648E-10, 2.99479E-09, 0.01, 0.80997, 0.68743, 71.13037, 0.74122, 10.31224
38, 25, 47.31438, -0.83008, 82.54445, 82.55437, -0.01, 1.34515E-16, -8.25648E-10, -8.25647E-10, 2.62886E-09, 0.01, 0.80997, 0.68737, 71.13037, 2.69120E-06, 9.42889
39, 27, 46.70323, 0.48, 83.48575, 83.49567, -0.01, 1.34515E-16, -8.25648E-10, -8.25647E-10, 2.62886E-09, 0.01, 0.81003, 0.68743, 71.13037, 0.74122, 10.57004
40, 25, 47.31438, -0.83008, 82.54445, 82.55437, -0.01, 1.34515E-16, -8.25648E-10, -8.25647E-10, 2.62886E-09, 0.01, 0.80997, 0.68737, 71.13037, 2.69120E-06, 9.42889
41, 24, 47.17631, -0.82411, 82.75978, 82.7697, -0.01, 1.34515E-16, -8.25648E-10, -8.25647E-10, 2.62886E-09, 0.01, 0.81003, 0.68737, 71.13037, 2.69120E-06, 9.68669
42, 31, 47.23521, -0.82301, 82.79956, 82.80948, 0.01, 2.23387E-16, -1.37114E-09, 1.37114E-09, 2.63269E-09, 0.01, 0.81003, 0.68757, 71.20274, 2.69120E-06, 9.68669
43, 30, 47.37328, -0.82898, 82.58422, 82.59414, 0.01, 2.23387E-16, -1.37114E-09, 1.37114E-09, 1.48770E-14, 0.01, 0.80997, 0.68757, 71.20274, 2.69120E-06, 9.42889
44, 29, 46.9002, 0.47514, 83.31019, 83.32011, 0.01, 2.23387E-16, -1.37114E-09, 1.37114E-09, 2.63269E-09, 0.01, 0.80997, 0.6875, 71.20274, 0.74122, 10.31224
45, 31, 47.23521, -0.82301, 82.79956, 82.80948, 0.01, 2.23387E-16, -1.37114E-09, 1.37114E-09, 2.63269E-09, 0.01, 0.81003, 0.68757, 71.20274, 2.69120E-06, 9.68669
46, 29, 46.9002, 0.47514, 83.31019, 83.32011, 0.01, 2.23387E-16, -1.37114E-09, 1.37114E-09, 2.63269E-09, 0.01, 0.80997, 0.6875, 71.20274, 0.74122, 10.31224
47, 28, 46.76213, 0.48111, 83.52553, 83.53544, 0.01, 2.23387E-16, -1.37114E-09, 1.37114E-09, 2.63269E-09, 0.01, 0.81003, 0.6875, 71.20274, 0.74122, 10.57004
48, 35, 47.17631, -0.82411, 82.75978, 82.7697, 0.00, -0.01, 1.45439E-14, 0.00, 1.46549E-14, 0.01, 0.81003, 0.68763, 71.13037, 2.69120E-06, 9.68669
49, 34, 47.31438, -0.83008, 82.54445, 82.55437, 0.00, -0.01, 1.45439E-14, 0.00, 1.46549E-14, 0.01, 0.80997, 0.68763, 71.13037, 2.69120E-06, 9.42889
50, 33, 47.37328, -0.82898, 82.58422, 82.59414, 0.00, -0.01, 1.45439E-14, 0.00, 1.46549E-14, 0.01, 0.80997, 0.68757, 71.20274, 2.69120E-06, 9.42889
51, 35, 47.17631, -0.82411, 82.75978, 82.7697, 0.00, -0.01, 1.45439E-14, 0.00, 1.46549E-14, 0.01, 0.81003, 0.68763, 71.13037, 2.69120E-06, 9.68669
52, 33, 47.37328, -0.82898, 82.58422, 82.59414, 0.00, -0.01, 1.45439E-14, 0.00, 1.46549E-14, 0.01, 0.80997, 0.68757, 71.20274, 2.69120E-06, 9.42889
