VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TEXCOORD.x, TEXCOORD.y, POSITION.x, POSITION.y, POSITION.z
0, 2, 49.68803, 4.57658, 85.82614, 85.83606, -0.00025, 0.00261, -0.00965, 0.0042, -0.00873, -0.00247, 0.82665, 0.7352, 74.99674, 3.06863, 10.87243
1, 1, 49.71618, 4.73365, 85.95197, 85.96188, -0.0047, 0.00873, 0.0013, 0.0029, 0.00292, -0.00911, 0.82665, 0.73521, 75.09084, 3.15729, 10.96286
2, 0, 49.77199, 4.62019, 85.92348, 85.9334, 0.00239, 0.00391, -0.00889, 0.0056, -0.00803, -0.00203, 0.82665, 0.7352, 75.12245, 3.09225, 10.9067
3, 5, 50.10854, 4.91214, 83.64165, 83.65157, 0.00527, -0.00351, -0.00774, -0.00368, 0.00727, -0.0058, 0.82669, 0.73718, 74.15834, 3.29729, 8.81315
4, 4, 50.07013, 5.08934, 83.63853, 83.64845, -0.00589, 0.0042, 0.0069, -0.00468, 0.00519, -0.00715, 0.82669, 0.73719, 74.1246, 3.39964, 8.83359
5, 3, 50.1097, 5.70088, 83.46587, 83.47578, 0.00526, -0.00273, -0.00806, -0.00451, 0.00714, -0.00536, 0.8267, 0.73722, 74.06673, 3.75543, 8.67177
6, 8, 50.6293, 2.70687, 85.14529, 85.15521, -0.00873, 0.00116, -0.00474, -0.001, -0.00993, -0.0006, 0.82665, 0.73618, 75.4201, 2.00019, 9.75825
7, 7, 50.51912, 2.38651, 85.15956, 85.16947, -0.0052, 0.00071, -0.00852, -0.00078, -0.00996, -0.00035, 0.82666, 0.73617, 75.33183, 1.81502, 9.82986
8, 6, 50.49425, 2.51223, 85.18834, 85.19826, -0.00893, 0.00387, -0.00229, -0.00341, -0.00915, -0.00214, 0.82665, 0.73617, 75.32697, 1.88714, 9.86891
9, 11, 49.94916, 4.788, 83.64053, 83.65044, -0.00459, 0.00501, 0.00734, 0.00885, 0.00335, 0.00325, 0.82673, 0.73645, 74.02044, 3.22565, 8.90119
10, 10, 50.00205, 4.80658, 83.66005, 83.66997, 0.00616, -0.00441, 0.00652, 0.00779, 0.00216, -0.00589, 0.82673, 0.73645, 74.07661, 3.23606, 8.88779
11, 9, 50.07013, 5.08934, 83.63853, 83.64845, -0.00589, 0.0042, 0.0069, 0.00804, 0.00386, 0.00452, 0.82673, 0.73639, 74.1246, 3.39964, 8.83359
